play_wallclock_utc,game_seconds_elapsed,period,game_clock,play_text,score_value,scoring_team_is_fav,fav_score_after,dog_score_after,score_margin_after,fav_wp_before,fav_wp_after,wp_delta,kalshi_price_before,kalshi_price_after,kalshi_price_delta,wp_vs_kalshi_reaction_diff
2026-04-04 00:11:10+00:00,20.0,1,11:40,Neemias Queta makes 1-foot floating jump shot (Derrick White assists),2,True,2,0,2,0.849,0.863,0.014000000000000012,0.94,0.94,0.0,0.014000000000000012
2026-04-04 00:11:33+00:00,38.0,1,11:22,Sam Hauser makes 25-foot running jump shot (Jaylen Brown assists),3,True,5,0,5,0.873,0.894,0.02100000000000002,0.95,0.95,0.0,0.02100000000000002
2026-04-04 00:12:16+00:00,85.0,1,10:35,Neemias Queta makes dunk (Jayson Tatum assists),2,True,7,0,7,0.903,0.912,0.009000000000000008,0.96,0.97,0.010000000000000009,-0.0010000000000000009
2026-04-04 00:12:25+00:00,95.0,1,10:25,AJ Green makes 24-foot three point jumper (Ousmane Dieng assists),3,False,7,3,4,0.912,0.894,-0.018000000000000016,0.96,0.96,0.0,-0.018000000000000016
2026-04-04 00:13:09+00:00,110.0,1,10:10,Neemias Queta makes free throw 1 of 2,1,True,8,3,5,0.907,0.909,0.0020000000000000018,0.95,0.97,0.020000000000000018,-0.018000000000000016
2026-04-04 00:14:36+00:00,134.0,1,9:46,Jayson Tatum makes 25-foot three point jumper (Derrick White assists),3,True,11,3,8,0.902,0.919,0.017000000000000015,0.96,0.96,0.0,0.017000000000000015
2026-04-04 00:18:09+00:00,165.0,1,9:15,Derrick White makes 27-foot three point jumper (Neemias Queta assists),3,True,14,3,11,0.927,0.9390000000000001,0.01200000000000001,0.97,0.98,0.010000000000000009,0.0020000000000000018
2026-04-04 00:18:22+00:00,179.0,1,9:01,Ousmane Dieng makes 26-foot three pointer,3,False,14,6,8,0.9390000000000001,0.927,-0.01200000000000001,0.97,0.97,0.0,-0.01200000000000001
2026-04-04 00:19:15+00:00,194.0,1,8:46,Neemias Queta makes free throw 1 of 2,1,True,15,6,9,0.931,0.938,0.006999999999999895,0.97,0.98,0.010000000000000009,-0.0030000000000001137
2026-04-04 00:19:21+00:00,194.0,1,8:46,Neemias Queta makes free throw 2 of 2,1,True,16,6,10,0.938,0.933,-0.004999999999999893,0.97,0.97,0.0,-0.004999999999999893
2026-04-04 00:19:41+00:00,213.0,1,8:27,Sam Hauser makes 23-foot three point jumper (Jaylen Brown assists),3,True,19,6,13,0.94,0.951,0.01100000000000001,0.98,0.97,-0.010000000000000009,0.02100000000000002
2026-04-04 00:20:35+00:00,267.0,1,7:33,Sam Hauser makes 24-foot three point jumper (Jaylen Brown assists),3,True,22,6,16,0.956,0.965,0.009000000000000008,0.99,0.98,-0.010000000000000009,0.019000000000000017
2026-04-04 00:24:43+00:00,305.0,1,6:55,Neemias Queta makes 1-foot dunk (Jayson Tatum assists),2,True,24,6,18,0.965,0.973,0.008000000000000007,0.98,0.98,0.0,0.008000000000000007
2026-04-04 00:24:58+00:00,319.0,1,6:41,Ousmane Dieng makes 20-foot step back jumpshot,2,False,24,8,16,0.973,0.97,-0.0030000000000000027,0.99,0.98,-0.010000000000000009,0.007000000000000006
2026-04-04 00:25:13+00:00,335.0,1,6:25,Neemias Queta makes 2-foot layup (Jayson Tatum assists),2,True,26,8,18,0.97,0.973,0.0030000000000000027,0.99,0.98,-0.010000000000000009,0.013000000000000012
2026-04-04 00:26:11+00:00,386.0,1,5:34,Kyle Kuzma makes tip shot,2,False,26,10,16,0.974,0.97,-0.0040000000000000036,0.99,0.98,-0.010000000000000009,0.006000000000000005
2026-04-04 00:26:54+00:00,399.0,1,5:21,Jayson Tatum makes technical free throw,1,True,27,10,17,0.969,0.973,0.0040000000000000036,0.99,0.98,-0.010000000000000009,0.014000000000000012
2026-04-04 00:28:50+00:00,409.0,1,5:11,Jaylen Brown makes free throw 2 of 2,1,True,28,10,18,0.973,0.974,0.0010000000000000009,0.98,0.98,0.0,0.0010000000000000009
2026-04-04 00:30:10+00:00,443.0,1,4:37,Cormac Ryan makes 27-foot three point jumper (AJ Green assists),3,False,28,13,15,0.974,0.966,-0.008000000000000007,,,,
2026-04-04 00:30:27+00:00,460.0,1,4:20,Jaylen Brown makes 25-foot three point step back jumpshot,3,True,31,13,18,0.966,0.973,0.007000000000000006,0.98,0.99,0.010000000000000009,-0.0030000000000000027
2026-04-04 00:30:46+00:00,476.0,1,4:04,AJ Green makes 25-foot three point jumper (Jericho Sims assists),3,False,31,16,15,0.974,0.966,-0.008000000000000007,,0.98,,
2026-04-04 00:33:44+00:00,501.0,1,3:39,Jericho Sims makes free throw 2 of 2,1,False,31,17,14,0.962,0.962,0.0,,,,
2026-04-04 00:34:04+00:00,512.0,1,3:28,Neemias Queta makes tip shot,2,True,33,17,16,0.962,0.966,0.0040000000000000036,0.98,0.98,0.0,0.0040000000000000036
2026-04-04 00:37:24+00:00,576.0,1,2:24,Jayson Tatum makes 26-foot three pointer (Derrick White assists),3,True,36,17,19,0.97,0.977,0.007000000000000006,0.98,,,
2026-04-04 00:37:40+00:00,591.0,1,2:09,Taurean Prince makes 23-foot three point jumper (Jericho Sims assists),3,False,36,20,16,0.977,0.971,-0.006000000000000005,,0.98,,
2026-04-04 00:37:57+00:00,609.0,1,1:51,Derrick White makes 12-foot driving floating jump shot (Jayson Tatum assists),2,True,38,20,18,0.971,0.974,0.0030000000000000027,0.98,0.98,0.0,0.0030000000000000027
2026-04-04 00:38:46+00:00,620.0,1,1:40,Jericho Sims makes free throw 1 of 2,1,False,38,21,17,0.968,0.967,-0.0010000000000000009,0.99,0.98,-0.010000000000000009,0.009000000000000008
