play_wallclock_utc,game_seconds_elapsed,period,game_clock,play_text,score_value,scoring_team_is_fav,fav_score_after,dog_score_after,score_margin_after,fav_wp_before,fav_wp_after,wp_delta,kalshi_price_before,kalshi_price_after,kalshi_price_delta,wp_vs_kalshi_reaction_diff
2026-02-22 01:10:38+00:00,15.0,1,11:45,De'Aaron Fox makes 13-foot step back jumpshot,2,True,2,0,2,0.873,0.885,0.01200000000000001,0.91,0.91,0.0,0.01200000000000001
2026-02-22 01:11:07+00:00,44.0,1,11:16,Victor Wembanyama makes 9-foot driving floating jump shot (De'Aaron Fox assists),2,True,4,0,4,0.893,0.902,0.009000000000000008,0.93,0.91,-0.020000000000000018,0.029000000000000026
2026-02-22 01:11:27+00:00,64.0,1,10:56,De'Aaron Fox makes two point shot (Julian Champagnie assists),2,True,6,0,6,0.912,0.92,0.008000000000000007,0.92,0.9299999999999999,0.009999999999999898,-0.0019999999999998908
2026-02-22 01:12:16+00:00,113.0,1,10:07,Stephon Castle makes 10-foot fade away jump shot,2,True,8,0,8,0.926,0.933,0.007000000000000006,0.92,0.95,0.029999999999999916,-0.02299999999999991
2026-02-22 01:12:43+00:00,139.0,1,9:41,Devin Vassell makes 26-foot three point jumper (Julian Champagnie assists),3,True,11,0,11,0.938,0.949,0.01100000000000001,0.9299999999999999,0.95,0.020000000000000018,-0.009000000000000008
2026-02-22 01:16:09+00:00,171.0,1,9:09,Maxime Raynaud makes 8-foot floating jump shot (Russell Westbrook assists),2,False,11,2,9,0.949,0.944,-0.0050000000000000044,0.96,0.95,-0.010000000000000009,0.0050000000000000044
2026-02-22 01:16:43+00:00,188.0,1,8:52,Keegan Murray makes 2-foot running dunk (Precious Achiuwa assists),2,False,11,4,7,0.938,0.931,-0.006999999999999895,0.94,0.94,0.0,-0.006999999999999895
2026-02-22 01:16:54+00:00,199.0,1,8:41,Julian Champagnie makes 23-foot three point jumper (Stephon Castle assists),3,True,14,4,10,0.931,0.944,0.0129999999999999,0.94,0.95,0.010000000000000009,0.0029999999999998916
2026-02-22 01:17:56+00:00,242.0,1,7:58,Victor Wembanyama makes 1-foot alley oop dunk (De'Aaron Fox assists),2,True,16,4,12,0.949,0.954,0.0050000000000000044,0.96,0.94,-0.020000000000000018,0.025000000000000022
2026-02-22 01:18:34+00:00,271.0,1,7:29,Maxime Raynaud makes two point shot,2,False,16,6,10,0.954,0.948,-0.006000000000000005,0.96,0.96,0.0,-0.006000000000000005
2026-02-22 01:18:45+00:00,282.0,1,7:18,Victor Wembanyama makes 1-foot driving dunk,2,True,18,6,12,0.948,0.954,0.006000000000000005,0.97,0.97,0.0,0.006000000000000005
2026-02-22 01:19:07+00:00,304.0,1,6:56,Julian Champagnie makes 1-foot running dunk,2,True,20,6,14,0.959,0.964,0.0050000000000000044,0.96,0.95,-0.010000000000000009,0.015000000000000013
2026-02-22 01:19:25+00:00,322.0,1,6:38,Keegan Murray makes 18-foot step back jumpshot (Maxime Raynaud assists),2,False,20,8,12,0.964,0.959,-0.0050000000000000044,0.97,0.95,-0.020000000000000018,0.015000000000000013
2026-02-22 01:19:53+00:00,350.0,1,6:10,Russell Westbrook makes 17-foot pullup jump shot,2,False,20,10,10,0.954,0.948,-0.006000000000000005,0.97,0.97,0.0,-0.006000000000000005
2026-02-22 01:20:11+00:00,369.0,1,5:51,Stephon Castle makes two point shot,2,True,22,10,12,0.948,0.954,0.006000000000000005,0.97,0.97,0.0,0.006000000000000005
2026-02-22 01:24:08+00:00,394.0,1,5:26,Julian Champagnie makes 25-foot three point jumper (Stephon Castle assists),3,True,25,10,15,0.959,0.967,0.008000000000000007,0.97,0.97,0.0,0.008000000000000007
2026-02-22 01:24:22+00:00,409.0,1,5:11,Keegan Murray makes 24-foot three point jumper (Precious Achiuwa assists),3,False,25,13,12,0.967,0.959,-0.008000000000000007,0.97,0.97,0.0,-0.008000000000000007
2026-02-22 01:25:53+00:00,438.0,1,4:42,Keegan Murray makes free throw 1 of 2,1,False,25,14,11,0.945,0.944,-0.0010000000000000009,0.98,0.96,-0.020000000000000018,0.019000000000000017
2026-02-22 01:26:07+00:00,438.0,1,4:42,Keegan Murray makes free throw 2 of 2,1,False,25,15,10,0.944,0.949,0.0050000000000000044,0.96,0.98,0.020000000000000018,-0.015000000000000013
2026-02-22 01:26:21+00:00,451.0,1,4:29,Luke Kornet makes tip shot,2,True,27,15,12,0.944,0.953,0.009000000000000008,0.97,0.97,0.0,0.009000000000000008
2026-02-22 01:26:30+00:00,460.0,1,4:20,Drew Eubanks makes 8-foot two point shot (Malik Monk assists),2,True,27,17,10,0.949,0.949,0.0,0.97,0.97,0.0,0.0
2026-02-22 01:26:59+00:00,489.0,1,3:51,Malik Monk makes 11-foot driving floating jump shot (Drew Eubanks assists),2,False,27,19,8,0.942,0.935,-0.006999999999999895,0.96,0.97,0.010000000000000009,-0.016999999999999904
2026-02-22 01:27:14+00:00,504.0,1,3:36,Dylan Harper makes 6-foot two point shot,2,True,29,19,10,0.935,0.942,0.006999999999999895,0.97,0.97,0.0,0.006999999999999895
2026-02-22 01:27:32+00:00,521.0,1,3:19,Precious Achiuwa makes 9-foot two point shot (Drew Eubanks assists),2,False,29,21,8,0.942,0.935,-0.006999999999999895,0.95,0.95,0.0,-0.006999999999999895
2026-02-22 01:29:04+00:00,547.0,1,2:53,Keegan Murray makes free throw 1 of 3,1,False,29,22,7,0.914,0.912,-0.0020000000000000018,0.96,0.95,-0.010000000000000009,0.008000000000000007
2026-02-22 01:29:32+00:00,547.0,1,2:53,Keegan Murray makes free throw 3 of 3,1,False,29,23,6,0.918,0.919,0.0010000000000000009,0.95,0.94,-0.010000000000000009,0.01100000000000001
2026-02-22 01:29:49+00:00,563.0,1,2:37,De'Aaron Fox makes 7-foot driving floating jump shot (Luke Kornet assists),2,True,31,23,8,0.919,0.926,0.007000000000000006,0.94,0.94,0.0,0.007000000000000006
2026-02-22 01:30:21+00:00,570.0,1,2:30,DeMar DeRozan makes free throw 1 of 2,1,False,31,24,7,0.914,0.912,-0.0020000000000000018,0.94,0.95,0.010000000000000009,-0.01200000000000001
2026-02-22 01:30:34+00:00,570.0,1,2:30,DeMar DeRozan makes free throw 2 of 2,1,False,31,25,6,0.912,0.919,0.007000000000000006,0.94,0.94,0.0,0.007000000000000006
2026-02-22 01:31:21+00:00,586.0,1,2:14,Dylan Harper makes free throw 1 of 2,1,True,32,25,7,0.931,0.932,0.0010000000000000009,0.94,0.94,0.0,0.0010000000000000009
2026-02-22 01:31:38+00:00,586.0,1,2:14,Dylan Harper makes free throw 2 of 2,1,True,33,25,8,0.932,0.927,-0.0050000000000000044,0.94,0.94,0.0,-0.0050000000000000044
2026-02-22 01:33:01+00:00,651.0,1,1:09,Malik Monk makes two point shot (DeMar DeRozan assists),2,False,33,27,6,0.926,0.917,-0.009000000000000008,0.95,0.95,0.0,-0.009000000000000008
2026-02-22 01:33:43+00:00,674.8,1,45.2,Keldon Johnson makes 7-foot two point shot,2,True,35,27,8,0.917,0.925,0.008000000000000007,0.95,0.94,-0.010000000000000009,0.018000000000000016
2026-02-22 01:34:22+00:00,686.3,1,33.7,DeMar DeRozan makes free throw 1 of 2,1,False,35,28,7,0.912,0.91,-0.0020000000000000018,0.94,0.94,0.0,-0.0020000000000000018
2026-02-22 01:34:37+00:00,686.3,1,33.7,DeMar DeRozan makes free throw 2 of 2,1,False,35,29,6,0.91,0.917,0.007000000000000006,0.96,0.94,-0.020000000000000018,0.027000000000000024
2026-02-22 01:35:21+00:00,719.6,1,0.4,DeMar DeRozan makes 8-foot fade away jump shot,2,False,35,31,4,0.907,0.897,-0.010000000000000009,0.94,0.9299999999999999,-0.010000000000000009,0.0
2026-02-22 01:38:23+00:00,732.0,2,11:48,DeMar DeRozan makes 16-foot step back jumpshot (Maxime Raynaud assists),2,False,35,33,2,0.891,0.873,-0.018000000000000016,0.92,0.92,0.0,-0.018000000000000016
2026-02-22 01:38:52+00:00,762.0,2,11:18,Stephon Castle makes 8-foot two point shot,2,True,37,33,4,0.872,0.885,0.013000000000000012,0.92,0.92,0.0,0.013000000000000012
2026-02-22 01:39:03+00:00,773.0,2,11:07,Malik Monk makes 25-foot three pointer,3,False,37,36,1,0.885,0.858,-0.027000000000000024,0.93,0.91,-0.020000000000000018,-0.007000000000000006
2026-02-22 01:39:29+00:00,799.0,2,10:41,DeMar DeRozan makes 11-foot pullup jump shot,2,False,37,38,-1,0.84,0.826,-0.014000000000000012,0.89,0.9,0.010000000000000009,-0.02400000000000002
2026-02-22 01:39:54+00:00,822.0,2,10:18,Malik Monk makes running dunk (Nique Clifford assists),2,False,37,40,-3,0.804,0.787,-0.017000000000000015,0.88,0.89,0.010000000000000009,-0.027000000000000024
2026-02-22 01:43:29+00:00,857.0,2,9:43,Harrison Barnes makes layup (Victor Wembanyama assists),2,True,39,40,-1,0.785,0.801,0.016000000000000014,0.86,0.87,0.010000000000000009,0.006000000000000005
2026-02-22 01:43:53+00:00,857.0,2,9:43,Harrison Barnes makes free throw 1 of 1,1,True,40,40,0,0.833,0.82,-0.013000000000000012,0.89,0.89,0.0,-0.013000000000000012
