play_wallclock_utc,game_seconds_elapsed,period,game_clock,play_text,score_value,scoring_team_is_fav,fav_score_after,dog_score_after,score_margin_after,fav_wp_before,fav_wp_after,wp_delta,kalshi_price_before,kalshi_price_after,kalshi_price_delta,wp_vs_kalshi_reaction_diff
2026-02-27 00:41:54+00:00,13.0,1,11:47,Stephon Castle makes 1-foot dunk (Victor Wembanyama assists),2,True,2,0,2,0.787,0.8049999999999999,0.017999999999999905,0.84,0.83,-0.010000000000000009,0.027999999999999914
2026-02-27 00:42:35+00:00,55.0,1,11:05,Nolan Traore makes 12-foot driving floating jump shot,2,False,2,2,0,0.804,0.785,-0.019000000000000017,0.85,0.84,-0.010000000000000009,-0.009000000000000008
2026-02-27 00:42:54+00:00,74.0,1,10:46,Devin Vassell makes 24-foot three point jumper (Stephon Castle assists),3,True,5,2,3,0.785,0.8180000000000001,0.03300000000000003,0.83,0.84,0.010000000000000009,0.02300000000000002
2026-02-27 00:43:14+00:00,93.0,1,10:27,Nolan Traore makes 25-foot three point jumper (Egor Demin assists),3,False,5,5,0,0.8180000000000001,0.783,-0.03500000000000003,0.86,0.85,-0.010000000000000009,-0.025000000000000022
2026-02-27 00:43:25+00:00,105.0,1,10:15,Julian Champagnie makes driving dunk (Stephon Castle assists),2,True,7,5,2,0.783,0.802,0.019000000000000017,0.84,0.84,0.0,0.019000000000000017
2026-02-27 00:45:45+00:00,190.0,1,8:50,Stephon Castle makes free throw 1 of 2,1,True,8,5,3,0.837,0.841,0.0040000000000000036,0.86,0.85,-0.010000000000000009,0.014000000000000012
2026-02-27 00:46:03+00:00,190.0,1,8:50,Stephon Castle makes free throw 2 of 2,1,True,9,5,4,0.841,0.83,-0.01100000000000001,,0.86,,
2026-02-27 00:46:20+00:00,202.0,1,8:38,Nic Claxton makes tip shot,2,False,9,7,2,0.829,0.8140000000000001,-0.014999999999999902,0.86,0.86,0.0,-0.014999999999999902
2026-02-27 00:46:24+00:00,208.0,1,8:32,Devin Vassell makes 22-foot three point jumper (De'Aaron Fox assists),3,True,12,7,5,0.8140000000000001,0.843,0.028999999999999915,0.86,0.86,0.0,0.028999999999999915
2026-02-27 00:46:40+00:00,221.0,1,8:19,Stephon Castle makes 1-foot running dunk (Julian Champagnie assists),2,True,14,7,7,0.858,0.871,0.013000000000000012,0.85,0.86,0.010000000000000009,0.0030000000000000027
2026-02-27 00:47:16+00:00,221.0,1,8:19,Stephon Castle makes free throw 1 of 1,1,True,15,7,8,0.889,0.882,-0.007000000000000006,0.89,0.88,-0.010000000000000009,0.0030000000000000027
2026-02-27 00:48:01+00:00,234.0,1,8:06,Nic Claxton makes free throw 1 of 2,1,False,15,8,7,0.863,0.859,-0.0040000000000000036,0.88,0.87,-0.010000000000000009,0.006000000000000005
2026-02-27 00:48:18+00:00,234.0,1,8:06,Nic Claxton makes free throw 2 of 2,1,False,15,9,6,0.859,0.87,0.01100000000000001,0.89,0.89,0.0,0.01100000000000001
2026-02-27 00:48:30+00:00,245.0,1,7:55,Julian Champagnie makes 24-foot three point jumper (Stephon Castle assists),3,True,18,9,9,0.87,0.892,0.02200000000000002,0.89,0.89,0.0,0.02200000000000002
2026-02-27 00:49:28+00:00,274.0,1,7:26,Michael Porter Jr. makes free throw 1 of 2,1,False,18,10,8,0.875,0.872,-0.0030000000000000027,0.9,0.89,-0.010000000000000009,0.007000000000000006
