play_wallclock_utc,game_seconds_elapsed,period,game_clock,play_text,score_value,scoring_team_is_fav,fav_score_after,dog_score_after,score_margin_after,fav_wp_before,fav_wp_after,wp_delta,kalshi_price_before,kalshi_price_after,kalshi_price_delta,wp_vs_kalshi_reaction_diff
2026-03-03 00:13:12+00:00,71.0,1,10:49,Alperen Sengun makes 4-foot two point shot,2,True,2,0,2,0.878,0.889,0.01100000000000001,0.9,0.9,0.0,0.01100000000000001
2026-03-03 00:13:39+00:00,99.0,1,10:21,Tre Johnson makes 24-foot three point jumper,3,False,2,3,-1,0.888,0.866,-0.02200000000000002,0.89,0.89,0.0,-0.02200000000000002
2026-03-03 00:15:10+00:00,130.0,1,9:50,Kevin Durant makes free throw 1 of 2,1,True,3,3,0,0.881,0.884,0.0030000000000000027,0.9,0.89,-0.010000000000000009,0.013000000000000012
2026-03-03 00:15:26+00:00,130.0,1,9:50,Kevin Durant makes free throw 2 of 2,1,True,4,3,1,0.884,0.876,-0.008000000000000007,0.89,0.9,0.010000000000000009,-0.018000000000000016
2026-03-03 00:16:13+00:00,164.0,1,9:16,Kyshawn George makes 22-foot running jump shot (Tre Johnson assists),3,False,4,6,-2,0.875,0.85,-0.025000000000000022,0.89,0.89,0.0,-0.025000000000000022
2026-03-03 00:16:43+00:00,194.0,1,8:46,Reed Sheppard makes 9-foot two point shot,2,True,6,6,0,0.849,0.862,0.013000000000000012,0.88,0.88,0.0,0.013000000000000012
2026-03-03 00:16:57+00:00,209.0,1,8:31,Kyshawn George makes 12-foot turnaround jump shot,2,False,6,8,-2,0.862,0.848,-0.014000000000000012,0.88,0.88,0.0,-0.014000000000000012
2026-03-03 00:17:36+00:00,236.0,1,8:04,Bilal Coulibaly makes 26-foot three pointer,3,False,6,11,-5,0.833,0.8009999999999999,-0.03200000000000003,0.88,0.86,-0.020000000000000018,-0.01200000000000001
2026-03-03 00:18:21+00:00,281.0,1,7:19,Kevin Durant makes 28-foot three point jumper (Reed Sheppard assists),3,True,9,11,-2,0.798,0.829,0.030999999999999917,0.84,0.86,0.020000000000000018,0.010999999999999899
2026-03-03 00:22:40+00:00,317.0,1,6:43,Alperen Sengun makes free throw 1 of 2,1,True,10,11,-1,0.862,0.866,0.0040000000000000036,0.88,0.88,0.0,0.0040000000000000036
2026-03-03 00:22:53+00:00,317.0,1,6:43,Alperen Sengun makes free throw 2 of 2,1,True,11,11,0,0.866,0.856,-0.010000000000000009,0.89,0.89,0.0,-0.010000000000000009
2026-03-03 00:23:32+00:00,353.0,1,6:07,Bub Carrington makes 25-foot running pullup jump shot,3,False,11,14,-3,0.855,0.8260000000000001,-0.028999999999999915,0.89,0.89,0.0,-0.028999999999999915
2026-03-03 00:25:34+00:00,424.0,1,4:56,Kevin Durant makes free throw 1 of 2,1,True,12,14,-2,0.844,0.847,0.0030000000000000027,0.86,0.86,0.0,0.0030000000000000027
2026-03-03 00:25:55+00:00,424.0,1,4:56,Kevin Durant makes free throw 2 of 2,1,True,13,14,-1,0.847,0.836,-0.01100000000000001,0.86,0.86,0.0,-0.01100000000000001
2026-03-03 00:26:26+00:00,452.0,1,4:28,Kyshawn George makes 25-foot three point jumper (Bub Carrington assists),3,False,13,17,-4,0.834,0.8029999999999999,-0.031000000000000028,0.87,0.86,-0.010000000000000009,-0.02100000000000002
2026-03-03 00:26:41+00:00,468.0,1,4:12,Reed Sheppard makes 16-foot pullup jump shot,2,True,15,17,-2,0.8029999999999999,0.8180000000000001,0.015000000000000124,0.84,0.85,0.010000000000000009,0.0050000000000001155
2026-03-03 00:30:30+00:00,482.0,1,3:58,Will Riley makes free throw 1 of 2,1,False,15,18,-3,0.791,0.786,-0.0050000000000000044,0.84,0.84,0.0,-0.0050000000000000044
2026-03-03 00:30:42+00:00,482.0,1,3:58,Will Riley makes free throw 2 of 2,1,False,15,19,-4,0.786,0.8009999999999999,0.014999999999999902,0.84,0.85,0.010000000000000009,0.004999999999999893
2026-03-03 00:31:05+00:00,503.0,1,3:37,Reed Sheppard makes 27-foot three point jumper (Clint Capela assists),3,True,18,19,-1,0.7989999999999999,0.831,0.03200000000000003,0.83,0.86,0.030000000000000027,0.0020000000000000018
2026-03-03 00:31:24+00:00,521.0,1,3:19,Tari Eason makes running layup,2,True,20,19,1,0.846,0.86,0.014000000000000012,0.85,0.86,0.010000000000000009,0.0040000000000000036
2026-03-03 00:34:03+00:00,546.0,1,2:54,Jaden Hardy makes 24-foot running jump shot (Sharife Cooper assists),3,False,20,22,-2,0.859,0.83,-0.029000000000000026,0.87,0.85,-0.020000000000000018,-0.009000000000000008
2026-03-03 00:34:20+00:00,562.0,1,2:38,Kevin Durant makes 1-foot driving dunk (Amen Thompson assists),2,True,22,22,0,0.83,0.844,0.014000000000000012,0.85,0.86,0.010000000000000009,0.0040000000000000036
2026-03-03 00:35:19+00:00,585.0,1,2:15,Clint Capela makes free throw 1 of 2,1,True,23,22,1,0.877,0.88,0.0030000000000000027,0.86,0.86,0.0,0.0030000000000000027
2026-03-03 00:35:33+00:00,585.0,1,2:15,Clint Capela makes free throw 2 of 2,1,True,24,22,2,0.88,0.871,-0.009000000000000008,0.87,0.87,0.0,-0.009000000000000008
2026-03-03 00:35:47+00:00,598.0,1,2:02,Sharife Cooper makes 25-foot three pointer (Jamir Watkins assists),3,False,24,25,-1,0.871,0.842,-0.029000000000000026,0.87,0.86,-0.010000000000000009,-0.019000000000000017
2026-03-03 00:36:40+00:00,628.0,1,1:32,Sharife Cooper makes 26-foot three point step back jumpshot,3,False,24,28,-4,0.8009999999999999,0.79,-0.010999999999999899,0.84,0.84,0.0,-0.010999999999999899
2026-03-03 00:37:06+00:00,654.0,1,1:06,Clint Capela makes tip shot,2,True,26,28,-2,0.788,0.806,0.018000000000000016,0.8200000000000001,0.8200000000000001,0.0,0.018000000000000016
2026-03-03 00:37:15+00:00,661.6,1,58.4,Jamir Watkins makes 7-foot pullup jump shot,2,False,26,30,-4,0.806,0.787,-0.019000000000000017,0.83,0.84,0.010000000000000009,-0.029000000000000026
2026-03-03 00:42:16+00:00,757.0,2,11:23,Alperen Sengun makes 1-foot dunk (Reed Sheppard assists),2,True,28,30,-2,0.779,0.798,0.019000000000000017,0.8200000000000001,0.83,0.009999999999999898,0.009000000000000119
2026-03-03 00:42:35+00:00,775.0,2,11:05,Will Riley makes 24-foot three point jumper (Jamir Watkins assists),3,False,28,33,-5,0.7969999999999999,0.757,-0.039999999999999925,0.85,0.8200000000000001,-0.029999999999999916,-0.010000000000000009
2026-03-03 00:42:54+00:00,795.0,2,10:45,Reed Sheppard makes 27-foot three point jumper (Dorian Finney-Smith assists),3,True,31,33,-2,0.757,0.795,0.038000000000000034,0.8200000000000001,0.83,0.009999999999999898,0.028000000000000136
2026-03-03 00:43:41+00:00,828.0,2,10:12,Alperen Sengun makes 3-foot two point shot (Reed Sheppard assists),2,True,33,33,0,0.813,0.83,0.017000000000000015,0.84,0.84,0.0,0.017000000000000015
2026-03-03 00:44:26+00:00,858.0,2,9:42,Jamir Watkins makes running layup,2,False,33,35,-2,0.8280000000000001,0.81,-0.018000000000000016,0.88,0.86,-0.020000000000000018,0.0020000000000000018
2026-03-03 00:44:42+00:00,873.0,2,9:27,Dorian Finney-Smith makes driving layup (Tari Eason assists),2,True,35,35,0,0.81,0.827,0.016999999999999904,0.85,0.86,0.010000000000000009,0.006999999999999895
2026-03-03 00:45:08+00:00,899.0,2,9:01,Alperen Sengun makes tip shot,2,True,37,35,2,0.843,0.859,0.016000000000000014,0.89,0.89,0.0,0.016000000000000014
2026-03-03 00:49:59+00:00,959.0,2,8:01,Jaden Hardy makes 8-foot driving floating jump shot,2,False,37,37,0,0.857,0.84,-0.017000000000000015,0.89,0.87,-0.020000000000000018,0.0030000000000000027
2026-03-03 00:50:55+00:00,988.0,2,7:32,Alperen Sengun makes 5-foot two point shot,2,True,39,37,2,0.839,0.855,0.016000000000000014,0.89,0.89,0.0,0.016000000000000014
2026-03-03 00:52:28+00:00,1030.0,2,6:50,Alperen Sengun makes free throw 1 of 2,1,True,40,37,3,0.887,0.89,0.0030000000000000027,0.89,0.89,0.0,0.0030000000000000027
2026-03-03 00:53:13+00:00,1052.0,2,6:28,Alperen Sengun makes two point shot (Reed Sheppard assists),2,True,42,37,5,0.88,0.893,0.013000000000000012,0.89,0.89,0.0,0.013000000000000012
2026-03-03 00:53:36+00:00,1075.0,2,6:05,Kevin Durant makes 27-foot three point jumper (Alperen Sengun assists),3,True,45,37,8,0.905,0.925,0.020000000000000018,0.9,0.91,0.010000000000000009,0.010000000000000009
2026-03-03 00:54:24+00:00,1122.0,2,5:18,Alperen Sengun makes 3-foot hook shot,2,True,47,37,10,0.9339999999999999,0.942,0.008000000000000007,0.94,0.94,0.0,0.008000000000000007
2026-03-03 00:57:47+00:00,1143.0,2,4:57,Justin Champagnie makes 3-foot reverse dunk,2,False,47,39,8,0.947,0.9339999999999999,-0.013000000000000012,0.95,0.95,0.0,-0.013000000000000012
2026-03-03 00:58:12+00:00,1167.0,2,4:33,Bilal Coulibaly makes 25-foot running jump shot (Justin Champagnie assists),3,False,47,42,5,0.924,0.902,-0.02200000000000002,0.94,0.92,-0.019999999999999907,-0.002000000000000113
2026-03-03 00:59:03+00:00,1191.0,2,4:09,Kevin Durant makes free throw 1 of 2,1,True,48,42,6,0.919,0.921,0.0020000000000000018,0.92,0.92,0.0,0.0020000000000000018
2026-03-03 00:59:25+00:00,1191.0,2,4:09,Kevin Durant makes free throw 2 of 2,1,True,49,42,7,0.921,0.913,-0.008000000000000007,0.92,0.92,0.0,-0.008000000000000007
2026-03-03 01:00:13+00:00,1209.0,2,3:51,Kyshawn George makes free throw 1 of 2,1,False,49,43,6,0.904,0.892,-0.01200000000000001,0.92,0.92,0.0,-0.01200000000000001
2026-03-03 01:00:46+00:00,1221.0,2,3:39,Amen Thompson makes 6-foot driving floating jump shot,2,True,51,43,8,0.913,0.923,0.010000000000000009,0.93,0.91,-0.020000000000000018,0.030000000000000027
2026-03-03 01:01:36+00:00,1241.0,2,3:19,Alperen Sengun makes free throw 1 of 2,1,True,52,43,9,0.945,0.947,0.0020000000000000018,0.9299999999999999,0.93,1.1102230246251565e-16,0.0019999999999998908
2026-03-03 01:02:06+00:00,1241.0,2,3:19,Alperen Sengun makes free throw 2 of 2,1,True,53,43,10,0.947,0.9410000000000001,-0.005999999999999894,0.94,0.94,0.0,-0.005999999999999894
2026-03-03 01:02:25+00:00,1260.0,2,3:00,Bilal Coulibaly makes 23-foot three point jumper (Kyshawn George assists),3,False,53,46,7,0.9410000000000001,0.923,-0.018000000000000016,0.95,0.9299999999999999,-0.020000000000000018,0.0020000000000000018
2026-03-03 01:02:43+00:00,1277.0,2,2:43,Bilal Coulibaly makes 2-foot dunk (Tre Johnson assists),2,False,53,48,5,0.912,0.901,-0.01100000000000001,0.92,0.91,-0.010000000000000009,-0.0010000000000000009
2026-03-03 01:03:15+00:00,1310.0,2,2:10,Amen Thompson makes 6-foot two point shot,2,True,55,48,7,0.9,0.912,0.01200000000000001,0.92,0.92,0.0,0.01200000000000001
2026-03-03 01:03:56+00:00,1344.0,2,1:36,Amen Thompson makes 2-foot dunk (Tari Eason assists),2,True,57,48,9,0.923,0.933,0.010000000000000009,0.93,0.9299999999999999,-1.1102230246251565e-16,0.01000000000000012
2026-03-03 01:04:19+00:00,1367.0,2,1:13,Bilal Coulibaly makes 24-foot three pointer,3,False,57,51,6,0.933,0.911,-0.02200000000000002,0.94,0.92,-0.019999999999999907,-0.002000000000000113
2026-03-03 01:05:13+00:00,1417.2,2,22.8,Tari Eason makes driving layup (Kevin Durant assists),2,True,59,51,8,0.911,0.922,0.01100000000000001,0.92,0.9299999999999999,0.009999999999999898,0.001000000000000112
2026-03-03 01:05:58+00:00,1417.2,2,22.8,Tari Eason makes free throw 1 of 1,1,True,60,51,9,0.9390000000000001,0.9319999999999999,-0.007000000000000117,0.94,0.9299999999999999,-0.010000000000000009,0.0029999999999998916
2026-03-03 01:23:12+00:00,1488.0,3,11:12,Amen Thompson makes two point shot,2,True,62,51,11,0.942,0.949,0.007000000000000006,0.94,0.95,0.010000000000000009,-0.0030000000000000027
2026-03-03 01:23:34+00:00,1488.0,3,11:12,Amen Thompson makes free throw 1 of 1,1,True,63,51,12,0.962,0.957,-0.0050000000000000044,0.95,0.96,0.010000000000000009,-0.015000000000000013
2026-03-03 01:23:55+00:00,1507.0,3,10:53,Tari Eason makes 3-foot running dunk,2,True,65,51,14,0.964,0.969,0.0050000000000000044,0.96,0.96,0.0,0.0050000000000000044
2026-03-03 01:24:09+00:00,1522.0,3,10:38,Amen Thompson makes 2-foot running dunk (Reed Sheppard assists),2,True,67,51,16,0.975,0.979,0.0040000000000000036,0.98,0.97,-0.010000000000000009,0.014000000000000012
2026-03-03 01:27:33+00:00,1547.0,3,10:13,Alperen Sengun makes 13-foot pullup jump shot,2,True,69,51,18,0.983,0.986,0.0030000000000000027,0.98,0.98,0.0,0.0030000000000000027
2026-03-03 01:28:56+00:00,1583.0,3,9:37,Kyshawn George makes free throw 1 of 2,1,False,69,52,17,0.981,0.981,0.0,0.99,0.98,-0.010000000000000009,0.010000000000000009
2026-03-03 01:28:56+00:00,1583.0,3,9:37,Kyshawn George makes free throw 2 of 2,1,False,69,53,16,0.981,0.983,0.0020000000000000018,0.99,0.98,-0.010000000000000009,0.01200000000000001
2026-03-03 01:29:29+00:00,1602.0,3,9:18,Amen Thompson makes dunk (Reed Sheppard assists),2,True,71,53,18,0.983,0.986,0.0030000000000000027,0.98,0.99,0.010000000000000009,-0.007000000000000006
2026-03-03 01:29:39+00:00,1612.0,3,9:08,Kyshawn George makes 13-foot pullup jump shot,2,False,71,55,16,0.986,0.984,-0.0020000000000000018,0.99,0.99,0.0,-0.0020000000000000018
2026-03-03 01:30:19+00:00,1639.0,3,8:41,Julian Reese makes layup (Tre Johnson assists),2,False,71,57,14,0.98,0.976,-0.0040000000000000036,0.98,0.97,-0.010000000000000009,0.006000000000000005
2026-03-03 01:30:37+00:00,1658.0,3,8:22,Amen Thompson makes 23-foot three point jumper (Reed Sheppard assists),3,True,74,57,17,0.976,0.985,0.009000000000000008,0.98,0.98,0.0,0.009000000000000008
2026-03-03 01:31:17+00:00,1669.0,3,8:11,Bilal Coulibaly makes 1-foot alley oop dunk (Bub Carrington assists),2,False,74,59,15,0.987,0.981,-0.006000000000000005,0.99,0.99,0.0,-0.006000000000000005
2026-03-03 01:31:49+00:00,1702.0,3,7:38,Tre Johnson makes 10-foot pullup jump shot,2,False,74,61,13,0.977,0.973,-0.0040000000000000036,0.99,0.99,0.0,-0.0040000000000000036
2026-03-03 01:32:21+00:00,1714.0,3,7:26,Kyshawn George makes 23-foot three point jumper (Bub Carrington assists),3,False,74,64,10,0.966,0.952,-0.014000000000000012,0.98,0.98,0.0,-0.014000000000000012
2026-03-03 01:32:47+00:00,1740.0,3,7:00,Bub Carrington makes 24-foot three pointer (Kyshawn George assists),3,False,74,67,7,0.943,0.922,-0.020999999999999908,0.97,0.96,-0.010000000000000009,-0.010999999999999899
2026-03-03 01:33:56+00:00,1775.0,3,6:25,Kevin Durant makes 16-foot fade away jump shot (Reed Sheppard assists),2,True,76,67,9,0.922,0.933,0.01100000000000001,0.9299999999999999,0.95,0.020000000000000018,-0.009000000000000008
2026-03-03 01:34:07+00:00,1785.0,3,6:15,Bub Carrington makes 16-foot two point shot,2,False,76,69,7,0.933,0.922,-0.01100000000000001,0.95,0.96,0.010000000000000009,-0.02100000000000002
2026-03-03 01:37:29+00:00,1805.0,3,5:55,Amen Thompson makes driving layup,2,True,78,69,9,0.922,0.933,0.01100000000000001,0.94,0.95,0.010000000000000009,0.0010000000000000009
2026-03-03 01:37:59+00:00,1834.0,3,5:26,Kevin Durant makes 26-foot three pointer,3,True,81,69,12,0.945,0.962,0.017000000000000015,0.95,0.96,0.010000000000000009,0.007000000000000006
2026-03-03 01:38:58+00:00,1867.0,3,4:53,Tari Eason makes tip shot,2,True,83,69,14,0.969,0.975,0.006000000000000005,0.97,0.99,0.020000000000000018,-0.014000000000000012
2026-03-03 01:39:13+00:00,1887.0,3,4:33,Dorian Finney-Smith makes 26-foot three point jumper (Reed Sheppard assists),3,True,86,69,17,0.98,0.988,0.008000000000000007,0.98,0.98,0.0,0.008000000000000007
2026-03-03 01:40:14+00:00,1911.0,3,4:09,Sharife Cooper makes driving layup,2,False,86,71,15,0.988,0.985,-0.0030000000000000027,0.98,0.99,0.010000000000000009,-0.013000000000000012
2026-03-03 01:41:24+00:00,1946.0,3,3:34,Kevin Durant makes free throw 1 of 2,1,True,87,71,16,0.99,0.991,0.0010000000000000009,,0.98,,
2026-03-03 01:41:46+00:00,1946.0,3,3:34,Kevin Durant makes free throw 2 of 2,1,True,88,71,17,0.991,0.989,-0.0020000000000000018,0.98,0.98,0.0,-0.0020000000000000018
2026-03-03 01:42:09+00:00,1968.0,3,3:12,Bilal Coulibaly makes dunk (Jamir Watkins assists),2,False,88,73,15,0.989,0.986,-0.0030000000000000027,0.98,0.99,0.010000000000000009,-0.013000000000000012
2026-03-03 01:42:24+00:00,1982.0,3,2:58,Aaron Holiday makes driving layup,2,True,90,73,17,0.986,0.989,0.0030000000000000027,0.98,0.98,0.0,0.0030000000000000027
2026-03-03 01:50:29+00:00,2025.0,3,2:15,Bub Carrington makes 17-foot step back jumpshot,2,False,90,75,15,0.99,0.987,-0.0030000000000000027,0.99,0.98,-0.010000000000000009,0.007000000000000006
2026-03-03 01:50:47+00:00,2044.0,3,1:56,Kevin Durant makes 19-foot pullup jump shot (Amen Thompson assists),2,True,92,75,17,0.987,0.99,0.0030000000000000027,0.99,0.99,0.0,0.0030000000000000027
2026-03-03 01:51:03+00:00,2060.0,3,1:40,Justin Champagnie makes 27-foot three point jumper (Bub Carrington assists),3,False,92,78,14,0.991,0.985,-0.006000000000000005,0.98,0.98,0.0,-0.006000000000000005
2026-03-03 01:51:20+00:00,2077.0,3,1:23,Kevin Durant makes 13-foot two point shot (Amen Thompson assists),2,True,94,78,16,0.985,0.988,0.0030000000000000027,0.98,0.99,0.010000000000000009,-0.007000000000000006
2026-03-03 01:51:57+00:00,2099.0,3,1:01,Sharife Cooper makes 2-foot two point shot,2,False,94,80,14,0.992,0.986,-0.006000000000000005,0.98,0.99,0.010000000000000009,-0.016000000000000014
2026-03-03 01:59:28+00:00,2175.0,4,11:45,Amen Thompson makes 17-foot pullup jump shot,2,True,96,80,16,0.985,0.991,0.006000000000000005,0.99,0.98,-0.010000000000000009,0.016000000000000014
2026-03-03 02:00:53+00:00,2227.0,4,10:53,Reed Sheppard makes 25-foot three point jumper (Amen Thompson assists),3,True,99,80,19,0.995,0.997,0.0020000000000000018,,0.99,,
2026-03-03 02:01:05+00:00,2239.0,4,10:41,Jaden Hardy makes driving layup,2,False,99,82,17,0.997,0.996,-0.0010000000000000009,,0.99,,
2026-03-03 02:01:12+00:00,2247.0,4,10:33,Amen Thompson makes 3-foot dunk (Reed Sheppard assists),2,True,101,82,19,0.996,0.998,0.0020000000000000018,0.99,0.99,0.0,0.0020000000000000018
2026-03-03 02:03:14+00:00,2310.0,4,9:30,Jaden Hardy makes 15-foot driving floating jump shot,2,False,101,84,17,0.998,0.997,-0.0010000000000000009,0.99,0.99,0.0,-0.0010000000000000009
2026-03-03 02:03:24+00:00,2320.0,4,9:20,Reed Sheppard makes driving layup,2,True,103,84,19,0.997,0.998,0.0010000000000000009,0.99,0.99,0.0,0.0010000000000000009
2026-03-03 02:03:47+00:00,2343.0,4,8:57,Jaden Hardy makes 6-foot driving floating jump shot,2,False,103,86,17,0.998,0.997,-0.0010000000000000009,,0.99,,
2026-03-03 02:05:40+00:00,2389.0,4,8:11,Alperen Sengun makes free throw 1 of 2,1,True,104,86,18,0.999,0.999,0.0,0.99,0.99,0.0,0.0
2026-03-03 02:06:00+00:00,2389.0,4,8:11,Alperen Sengun makes free throw 2 of 2,1,True,105,86,19,0.999,0.999,0.0,0.99,,,
2026-03-03 02:06:19+00:00,2405.0,4,7:55,Justin Champagnie makes 29-foot three pointer,3,False,105,89,16,0.999,0.997,-0.0020000000000000018,,0.99,,
2026-03-03 02:08:53+00:00,2453.0,4,7:07,Reed Sheppard makes free throw 2 of 2,1,True,106,89,17,0.998,0.998,0.0,0.99,,,
2026-03-03 02:12:32+00:00,2480.0,4,6:40,Jamir Watkins makes 26-foot three point jumper (Jaden Hardy assists),3,False,106,92,14,0.998,0.995,-0.0030000000000000027,0.99,0.99,0.0,-0.0030000000000000027
2026-03-03 02:12:52+00:00,2501.0,4,6:19,Alperen Sengun makes tip shot,2,True,108,92,16,0.995,0.997,0.0020000000000000018,,0.99,,
2026-03-03 02:13:07+00:00,2516.0,4,6:04,Sharife Cooper makes two point shot,2,False,108,94,14,0.997,0.996,-0.0010000000000000009,0.99,0.99,0.0,-0.0010000000000000009
2026-03-03 02:13:24+00:00,2533.0,4,5:47,Alperen Sengun makes 2-foot two point shot,2,True,110,94,16,0.996,0.998,0.0020000000000000018,0.99,,,
2026-03-03 02:13:45+00:00,2553.0,4,5:27,Jaden Hardy makes driving layup (Jamir Watkins assists),2,False,110,96,14,0.998,0.997,-0.0010000000000000009,,0.99,,
2026-03-03 02:14:42+00:00,2586.0,4,4:54,Jaden Hardy makes free throw 1 of 2,1,False,110,97,13,0.99,0.989,-0.0010000000000000009,,0.99,,
2026-03-03 02:16:05+00:00,2602.0,4,4:38,Will Riley makes free throw 1 of 2,1,False,110,98,12,0.986,0.985,-0.0010000000000000009,0.99,0.99,0.0,-0.0010000000000000009
2026-03-03 02:16:21+00:00,2602.0,4,4:38,Will Riley makes free throw 2 of 2,1,False,110,99,11,0.985,0.99,0.0050000000000000044,0.99,0.99,0.0,0.0050000000000000044
2026-03-03 02:17:41+00:00,2623.0,4,4:17,Kevin Durant makes free throw 1 of 3,1,True,111,99,12,0.996,0.996,0.0,0.99,0.99,0.0,0.0
2026-03-03 02:17:56+00:00,2623.0,4,4:17,Kevin Durant makes free throw 2 of 3,1,True,112,99,13,0.996,0.998,0.0020000000000000018,0.99,0.99,0.0,0.0020000000000000018
2026-03-03 02:18:28+00:00,2623.0,4,4:17,Kevin Durant makes free throw 3 of 3,1,True,113,99,14,0.998,0.997,-0.0010000000000000009,0.99,0.99,0.0,-0.0010000000000000009
2026-03-03 02:19:25+00:00,2651.0,4,3:49,Bilal Coulibaly makes 23-foot three point jumper (Sharife Cooper assists),3,False,113,102,11,0.997,0.993,-0.0040000000000000036,0.99,0.99,0.0,-0.0040000000000000036
2026-03-03 02:19:47+00:00,2672.0,4,3:28,Alperen Sengun makes layup,2,True,115,102,13,0.994,0.996,0.0020000000000000018,0.99,0.99,0.0,0.0020000000000000018
2026-03-03 02:20:14+00:00,2672.0,4,3:28,Alperen Sengun makes free throw 1 of 1,1,True,116,102,14,0.999,0.998,-0.0010000000000000009,0.99,0.99,0.0,-0.0010000000000000009
2026-03-03 02:21:00+00:00,2718.0,4,2:42,Sharife Cooper makes tip shot,2,False,116,104,12,0.999,0.998,-0.0010000000000000009,,0.99,,
2026-03-03 02:21:25+00:00,2742.0,4,2:18,Justin Champagnie makes 2-foot running dunk (Will Riley assists),2,False,116,106,10,0.997,0.994,-0.0030000000000000027,0.99,0.99,0.0,-0.0030000000000000027
2026-03-03 02:21:48+00:00,2763.0,4,1:57,Alperen Sengun makes tip shot,2,True,118,106,12,0.996,0.998,0.0020000000000000018,0.99,0.99,0.0,0.0020000000000000018
2026-03-03 02:21:56+00:00,2769.0,4,1:51,Bilal Coulibaly makes 3-foot layup (Sharife Cooper assists),2,False,118,108,10,0.998,0.996,-0.0020000000000000018,0.99,0.99,0.0,-0.0020000000000000018
2026-03-03 02:22:14+00:00,2786.0,4,1:34,Kevin Durant makes 12-foot turnaround jump shot,2,True,120,108,12,0.996,0.999,0.0030000000000000027,0.99,0.99,0.0,0.0030000000000000027
2026-03-03 02:25:32+00:00,2791.0,4,1:29,Sharife Cooper makes free throw 1 of 2,1,False,120,109,11,0.999,0.994,-0.0050000000000000044,,0.99,,
2026-03-03 02:25:46+00:00,2791.0,4,1:29,Sharife Cooper makes free throw 2 of 2,1,False,120,110,10,0.994,0.997,0.0030000000000000027,0.99,0.99,0.0,0.0030000000000000027
2026-03-03 02:26:05+00:00,2810.0,4,1:10,Reed Sheppard makes 26-foot three point jumper (Alperen Sengun assists),3,True,123,110,13,0.997,0.999,0.0020000000000000018,,0.99,,
2026-03-03 02:26:38+00:00,2831.2,4,48.8,Justin Champagnie makes 3-foot dunk,2,False,123,112,11,0.999,0.999,0.0,,0.99,,
2026-03-03 02:26:54+00:00,2850.8,4,29.2,Sharife Cooper makes running layup (Justin Champagnie assists),2,False,123,114,9,0.999,0.999,0.0,0.99,,,
2026-03-03 02:27:30+00:00,2850.8,4,29.2,Bub Carrington makes technical free throw,1,False,123,115,8,0.992,0.99,-0.0020000000000000018,,0.99,,
