play_wallclock_utc,game_seconds_elapsed,period,game_clock,play_text,score_value,scoring_team_is_fav,fav_score_after,dog_score_after,score_margin_after,fav_wp_before,fav_wp_after,wp_delta,kalshi_price_before,kalshi_price_after,kalshi_price_delta,wp_vs_kalshi_reaction_diff
2026-03-10 23:41:01+00:00,17.0,1,11:43,Bam Adebayo makes 5-foot two point shot,2,True,2,0,2,0.862,0.875,0.013000000000000012,0.89,0.91,0.020000000000000018,-0.007000000000000006
2026-03-10 23:42:19+00:00,86.0,1,10:34,Bam Adebayo makes 24-foot three point jumper (Davion Mitchell assists),3,True,5,0,5,0.883,0.902,0.019000000000000017,,0.92,,
2026-03-10 23:43:00+00:00,107.0,1,10:13,Alex Sarr makes 25-foot three point jumper (Tre Johnson assists),3,False,5,3,2,0.903,0.883,-0.020000000000000018,0.91,0.91,0.0,-0.020000000000000018
2026-03-10 23:44:25+00:00,154.0,1,9:26,Alex Sarr makes 7-foot two point shot,2,False,5,5,0,0.87,0.858,-0.01200000000000001,0.9,0.91,0.010000000000000009,-0.02200000000000002
2026-03-10 23:44:43+00:00,171.0,1,9:09,Bam Adebayo makes 4-foot driving floating jump shot (Davion Mitchell assists),2,True,7,5,2,0.858,0.87,0.01200000000000001,0.89,0.9,0.010000000000000009,0.0020000000000000018
2026-03-10 23:44:57+00:00,186.0,1,8:54,Tre Johnson makes 19-foot step back jumpshot,2,False,7,7,0,0.87,0.857,-0.013000000000000012,0.9,0.91,0.010000000000000009,-0.02300000000000002
2026-03-10 23:46:30+00:00,224.0,1,8:16,Pelle Larsson makes free throw 1 of 2,1,True,8,7,1,0.873,0.876,0.0030000000000000027,0.89,0.9,0.010000000000000009,-0.007000000000000006
2026-03-10 23:46:51+00:00,224.0,1,8:16,Pelle Larsson makes free throw 2 of 2,1,True,9,7,2,0.876,0.867,-0.009000000000000008,0.9,0.89,-0.010000000000000009,0.0010000000000000009
2026-03-10 23:47:12+00:00,243.0,1,7:57,Alex Sarr makes tip in dunk,2,False,9,9,0,0.867,0.855,-0.01200000000000001,0.88,0.89,0.010000000000000009,-0.02200000000000002
2026-03-10 23:47:45+00:00,274.0,1,7:26,Bam Adebayo makes layup (Myron Gardner assists),2,True,11,9,2,0.854,0.866,0.01200000000000001,0.89,0.88,-0.010000000000000009,0.02200000000000002
2026-03-10 23:48:03+00:00,286.0,1,7:14,Alex Sarr makes 1-foot driving dunk (Bub Carrington assists),2,False,11,11,0,0.866,0.853,-0.013000000000000012,0.89,0.89,0.0,-0.013000000000000012
2026-03-10 23:52:16+00:00,325.0,1,6:35,Bam Adebayo makes free throw 1 of 2,1,True,12,11,1,0.87,0.873,0.0030000000000000027,0.88,0.87,-0.010000000000000009,0.013000000000000012
2026-03-10 23:52:32+00:00,325.0,1,6:35,Bam Adebayo makes free throw 2 of 2,1,True,13,11,2,0.873,0.864,-0.009000000000000008,0.88,0.88,0.0,-0.009000000000000008
2026-03-10 23:52:47+00:00,338.0,1,6:22,Alex Sarr makes 8-foot two point shot,2,False,13,13,0,0.864,0.85,-0.014000000000000012,0.88,0.88,0.0,-0.014000000000000012
2026-03-10 23:53:02+00:00,353.0,1,6:07,Bam Adebayo makes 24-foot three point jumper (Davion Mitchell assists),3,True,16,13,3,0.85,0.875,0.025000000000000022,0.87,0.88,0.010000000000000009,0.015000000000000013
2026-03-10 23:54:03+00:00,381.0,1,5:39,Davion Mitchell makes layup (Kasparas Jakucionis assists),2,True,18,13,5,0.886,0.896,0.010000000000000009,0.9,0.9,0.0,0.010000000000000009
2026-03-10 23:54:08+00:00,387.0,1,5:33,Tre Johnson makes 24-foot three point jumper (Bilal Coulibaly assists),3,False,18,16,2,0.896,0.874,-0.02200000000000002,0.9,0.9,0.0,-0.02200000000000002
2026-03-10 23:54:22+00:00,400.0,1,5:20,Bam Adebayo makes 1-foot driving dunk (Jaime Jaquez Jr. assists),2,True,20,16,4,0.874,0.885,0.01100000000000001,0.89,0.9,0.010000000000000009,0.0010000000000000009
2026-03-10 23:54:37+00:00,414.0,1,5:06,Alex Sarr makes driving dunk (Bub Carrington assists),2,False,20,18,2,0.885,0.873,-0.01200000000000001,0.9,0.9,0.0,-0.01200000000000001
2026-03-10 23:54:43+00:00,422.0,1,4:58,Bam Adebayo makes 23-foot three point jumper (Jaime Jaquez Jr. assists),3,True,23,18,5,0.873,0.895,0.02200000000000002,0.9,0.9,0.0,0.02200000000000002
2026-03-10 23:58:29+00:00,442.0,1,4:38,Bub Carrington makes 15-foot step back jumpshot,2,False,23,20,3,0.895,0.884,-0.01100000000000001,0.91,0.9,-0.010000000000000009,-0.0010000000000000009
2026-03-10 23:58:42+00:00,455.0,1,4:25,Bam Adebayo makes 24-foot three point jumper (Kasparas Jakucionis assists),3,True,26,20,6,0.884,0.905,0.02100000000000002,0.9,0.92,0.020000000000000018,0.0010000000000000009
2026-03-10 23:58:55+00:00,468.0,1,4:12,Tre Johnson makes 12-foot pullup jump shot (Tristan Vukcevic assists),2,False,26,22,4,0.905,0.895,-0.010000000000000009,0.92,0.91,-0.010000000000000009,0.0
2026-03-11 00:00:14+00:00,505.0,1,3:35,Bam Adebayo makes driving layup (Jaime Jaquez Jr. assists),2,True,28,22,6,0.908,0.903,-0.0050000000000000044,0.9,0.91,0.010000000000000009,-0.015000000000000013
2026-03-11 00:00:57+00:00,505.0,1,3:35,Bam Adebayo makes free throw 1 of 1,1,True,29,22,7,0.92,0.913,-0.007000000000000006,0.92,0.91,-0.010000000000000009,0.0030000000000000027
2026-03-11 00:02:17+00:00,572.0,1,2:28,Myron Gardner makes tip shot,2,True,31,22,9,0.922,0.93,0.008000000000000007,0.92,0.9299999999999999,0.009999999999999898,-0.0019999999999998908
2026-03-11 00:03:02+00:00,583.0,1,2:17,Bam Adebayo makes free throw 1 of 2,1,True,32,22,10,0.946,0.948,0.0020000000000000018,0.94,0.94,0.0,0.0020000000000000018
2026-03-11 00:03:22+00:00,583.0,1,2:17,Bam Adebayo makes free throw 2 of 2,1,True,33,22,11,0.948,0.943,-0.0050000000000000044,0.9299999999999999,0.94,0.010000000000000009,-0.015000000000000013
2026-03-11 00:03:39+00:00,599.0,1,2:01,Bam Adebayo makes 26-foot running pullup jump shot,3,True,36,22,14,0.949,0.96,0.01100000000000001,0.95,0.95,0.0,0.01100000000000001
2026-03-11 00:04:02+00:00,622.0,1,1:38,Sharife Cooper makes 1-foot two point shot,2,False,36,24,12,0.96,0.955,-0.0050000000000000044,0.95,0.94,-0.010000000000000009,0.0050000000000000044
2026-03-11 00:07:49+00:00,657.0,1,1:03,Pelle Larsson makes free throw 2 of 2,1,True,37,24,13,0.955,0.955,0.0,0.94,0.96,0.020000000000000018,-0.020000000000000018
