play_wallclock_utc,game_seconds_elapsed,period,game_clock,play_text,score_value,scoring_team_is_fav,fav_score_after,dog_score_after,score_margin_after,fav_wp_before,fav_wp_after,wp_delta,kalshi_price_before,kalshi_price_after,kalshi_price_delta,wp_vs_kalshi_reaction_diff
2026-03-19 00:10:51+00:00,14.0,1,11:46,Rudy Gobert makes layup (Donte DiVincenzo assists),2,True,2,0,2,0.834,0.849,0.015000000000000013,0.87,0.87,0.0,0.015000000000000013
2026-03-19 00:11:42+00:00,60.0,1,11:00,Isaiah Collier makes 12-foot pullup jump shot (Kyle Filipowski assists),2,False,2,2,0,0.848,0.832,-0.016000000000000014,0.88,0.87,-0.010000000000000009,-0.006000000000000005
2026-03-19 00:11:59+00:00,77.0,1,10:43,Julius Randle makes 16-foot pullup jump shot (Ayo Dosunmu assists),2,True,4,2,2,0.832,0.847,0.015000000000000013,0.87,0.87,0.0,0.015000000000000013
2026-03-19 00:12:12+00:00,90.0,1,10:30,Brice Sensabaugh makes 24-foot three pointer (Kyle Filipowski assists),3,False,4,5,-1,0.847,0.818,-0.029000000000000026,0.87,0.87,0.0,-0.029000000000000026
2026-03-19 00:12:39+00:00,116.0,1,10:04,Ace Bailey makes 25-foot three point jumper (Isaiah Collier assists),3,False,4,8,-4,0.798,0.767,-0.031000000000000028,0.86,0.85,-0.010000000000000009,-0.02100000000000002
2026-03-19 00:12:50+00:00,127.0,1,9:53,Ayo Dosunmu makes 25-foot three point jumper (Julius Randle assists),3,True,7,8,-1,0.767,0.797,0.030000000000000027,0.85,0.86,0.010000000000000009,0.020000000000000018
2026-03-19 00:13:03+00:00,141.0,1,9:39,Brice Sensabaugh makes 25-foot three point jumper (Isaiah Collier assists),3,False,7,11,-4,0.797,0.766,-0.031000000000000028,0.84,0.85,0.010000000000000009,-0.041000000000000036
2026-03-19 00:13:17+00:00,155.0,1,9:25,Julius Randle makes 7-foot driving floating jump shot,2,True,9,11,-2,0.766,0.782,0.016000000000000014,0.84,0.83,-0.010000000000000009,0.026000000000000023
2026-03-19 00:17:24+00:00,197.0,1,8:43,Ace Bailey makes 25-foot three point jumper (Isaiah Collier assists),3,False,9,14,-5,0.78,0.742,-0.038000000000000034,0.83,0.83,0.0,-0.038000000000000034
2026-03-19 00:17:36+00:00,209.0,1,8:31,Rudy Gobert makes 1-foot dunk (Julius Randle assists),2,True,11,14,-3,0.742,0.76,0.018000000000000016,0.8200000000000001,0.8200000000000001,0.0,0.018000000000000016
2026-03-19 00:18:26+00:00,245.0,1,7:55,Rudy Gobert makes dunk (Donte DiVincenzo assists),2,True,13,14,-1,0.777,0.793,0.016000000000000014,0.8200000000000001,0.84,0.019999999999999907,-0.0039999999999998925
2026-03-19 00:18:46+00:00,264.0,1,7:36,Jaden McDaniels makes running dunk (Julius Randle assists),2,True,15,14,1,0.811,0.825,0.013999999999999901,0.84,0.85,0.010000000000000009,0.0039999999999998925
2026-03-19 00:19:09+00:00,288.0,1,7:12,Ayo Dosunmu makes driving layup (Donte DiVincenzo assists),2,True,17,14,3,0.84,0.853,0.013000000000000012,0.86,0.87,0.010000000000000009,0.0030000000000000027
2026-03-19 00:19:40+00:00,317.0,1,6:43,Julius Randle makes running layup (Ayo Dosunmu assists),2,True,19,14,5,0.866,0.877,0.01100000000000001,0.88,0.87,-0.010000000000000009,0.02100000000000002
2026-03-19 00:20:21+00:00,322.0,1,6:38,Rudy Gobert makes 2-foot dunk,2,True,21,14,7,0.889,0.899,0.010000000000000009,0.9,0.91,0.010000000000000009,0.0
2026-03-19 00:20:36+00:00,334.0,1,6:26,Brice Sensabaugh makes two point shot,2,False,21,16,5,0.898,0.889,-0.009000000000000008,0.9,0.89,-0.010000000000000009,0.0010000000000000009
2026-03-19 00:20:59+00:00,334.0,1,6:26,Brice Sensabaugh makes free throw 1 of 1,1,False,21,17,4,0.868,0.877,0.009000000000000008,0.9,0.89,-0.010000000000000009,0.019000000000000017
2026-03-19 00:21:29+00:00,360.0,1,6:00,Kevin Love makes 24-foot three point jumper (Andersson Garcia assists),3,False,21,20,1,0.864,0.837,-0.027000000000000024,0.89,0.86,-0.030000000000000027,0.0030000000000000027
2026-03-19 00:22:00+00:00,392.0,1,5:28,Brice Sensabaugh makes driving layup (Kevin Love assists),2,False,21,22,-1,0.821,0.805,-0.015999999999999903,0.85,0.84,-0.010000000000000009,-0.005999999999999894
2026-03-19 00:22:59+00:00,418.0,1,5:02,Julius Randle makes free throw 1 of 2,1,True,22,22,0,0.827,0.831,0.0040000000000000036,0.84,0.84,0.0,0.0040000000000000036
