play_wallclock_utc,game_seconds_elapsed,period,game_clock,play_text,score_value,scoring_team_is_fav,fav_score_after,dog_score_after,score_margin_after,fav_wp_before,fav_wp_after,wp_delta,kalshi_price_before,kalshi_price_after,kalshi_price_delta,wp_vs_kalshi_reaction_diff
2026-03-24 23:11:04+00:00,16.0,1,11:44,Maxime Raynaud makes 10-foot floating jump shot (Malik Monk assists),2,False,0,2,-2,0.885,0.871,-0.014000000000000012,0.9299999999999999,0.9299999999999999,0.0,-0.014000000000000012
2026-03-24 23:11:20+00:00,33.0,1,11:27,Moussa Diabate makes layup (Miles Bridges assists),2,True,2,2,0,0.871,0.883,0.01200000000000001,0.9299999999999999,0.9299999999999999,0.0,0.01200000000000001
2026-03-24 23:11:40+00:00,53.0,1,11:07,Maxime Raynaud makes two point shot (Malik Monk assists),2,False,2,4,-2,0.883,0.87,-0.013000000000000012,0.9299999999999999,0.9299999999999999,0.0,-0.013000000000000012
2026-03-24 23:11:49+00:00,61.0,1,10:59,Moussa Diabate makes 2-foot alley oop dunk (Brandon Miller assists),2,True,4,4,0,0.87,0.882,0.01200000000000001,0.9299999999999999,0.9299999999999999,0.0,0.01200000000000001
2026-03-24 23:12:33+00:00,73.0,1,10:47,Maxime Raynaud makes free throw 1 of 2,1,False,4,5,-1,0.864,0.861,-0.0030000000000000027,0.94,0.92,-0.019999999999999907,0.016999999999999904
2026-03-24 23:12:54+00:00,73.0,1,10:47,Maxime Raynaud makes free throw 2 of 2,1,False,4,6,-2,0.861,0.87,0.009000000000000008,0.92,0.93,0.010000000000000009,-0.0010000000000000009
2026-03-24 23:13:47+00:00,94.0,1,10:26,LaMelo Ball makes 33-foot three pointer (Miles Bridges assists),3,True,7,6,1,0.869,0.89,0.02100000000000002,0.92,0.92,0.0,0.02100000000000002
2026-03-24 23:14:16+00:00,123.0,1,9:57,Moussa Diabate makes layup (Miles Bridges assists),2,True,9,6,3,0.899,0.907,0.008000000000000007,0.9299999999999999,0.9299999999999999,0.0,0.008000000000000007
2026-03-24 23:15:10+00:00,157.0,1,9:23,LaMelo Ball makes 24-foot three point jumper (Moussa Diabate assists),3,True,12,6,6,0.915,0.93,0.015000000000000013,0.94,0.94,0.0,0.015000000000000013
2026-03-24 23:15:18+00:00,167.0,1,9:13,DeMar DeRozan makes driving layup,2,False,12,8,4,0.93,0.923,-0.007000000000000006,0.94,0.94,0.0,-0.007000000000000006
