play_wallclock_utc,game_seconds_elapsed,period,game_clock,play_text,score_value,scoring_team_is_fav,fav_score_after,dog_score_after,score_margin_after,fav_wp_before,fav_wp_after,wp_delta,kalshi_price_before,kalshi_price_after,kalshi_price_delta,wp_vs_kalshi_reaction_diff
2026-03-25 23:11:42+00:00,24.0,1,11:36,Jaxson Hayes makes 1-foot dunk (LeBron James assists),2,True,2,0,2,0.723,0.746,0.02300000000000002,0.79,0.8,0.010000000000000009,0.013000000000000012
2026-03-25 23:12:54+00:00,56.0,1,11:04,Austin Reaves makes technical free throw,1,True,3,0,3,0.758,0.782,0.02400000000000002,0.81,0.82,0.009999999999999898,0.014000000000000123
2026-03-25 23:13:12+00:00,64.0,1,10:56,Luka Doncic makes 27-foot three point step back jumpshot (Jaxson Hayes assists),3,True,6,0,6,0.782,0.817,0.03499999999999992,0.82,0.82,0.0,0.03499999999999992
2026-03-25 23:14:12+00:00,100.0,1,10:20,Jake LaRavia makes 1-foot dunk (LeBron James assists),2,True,8,0,8,0.831,0.846,0.015000000000000013,0.85,0.85,0.0,0.015000000000000013
2026-03-25 23:14:29+00:00,118.0,1,10:02,LeBron James makes 2-foot running dunk (Jake LaRavia assists),2,True,10,0,10,0.857,0.869,0.01200000000000001,0.87,0.87,0.0,0.01200000000000001
2026-03-25 23:14:45+00:00,134.0,1,9:46,Jay Huff makes 29-foot three point jumper (Andrew Nembhard assists),3,False,10,3,7,0.869,0.843,-0.026000000000000023,0.87,0.86,-0.010000000000000009,-0.016000000000000014
2026-03-25 23:15:12+00:00,160.0,1,9:20,Jay Huff makes 30-foot running jump shot (Andrew Nembhard assists),3,False,10,6,4,0.83,0.798,-0.03199999999999992,0.86,0.84,-0.020000000000000018,-0.0119999999999999
2026-03-25 23:16:03+00:00,193.0,1,8:47,Jarace Walker makes two point shot (Andrew Nembhard assists),2,False,10,8,2,0.778,0.759,-0.019000000000000017,0.83,0.8200000000000001,-0.009999999999999898,-0.009000000000000119
2026-03-25 23:16:15+00:00,205.0,1,8:35,Luka Doncic makes 27-foot three point jumper (Austin Reaves assists),3,True,13,8,5,0.759,0.795,0.03600000000000003,0.8200000000000001,0.83,0.009999999999999898,0.026000000000000134
2026-03-25 23:16:26+00:00,216.0,1,8:24,Andrew Nembhard makes 27-foot three pointer,3,False,13,11,2,0.795,0.759,-0.03600000000000003,0.83,0.8200000000000001,-0.009999999999999898,-0.026000000000000134
