play_wallclock_utc,game_seconds_elapsed,period,game_clock,play_text,score_value,scoring_team_is_fav,fav_score_after,dog_score_after,score_margin_after,fav_wp_before,fav_wp_after,wp_delta,kalshi_price_before,kalshi_price_after,kalshi_price_delta,wp_vs_kalshi_reaction_diff
2026-03-29 19:42:55+00:00,56.0,1,11:04,John Collins makes 15-foot pullup jump shot (Darius Garland assists),2,True,2,0,2,0.825,0.839,0.014000000000000012,0.92,0.92,0.0,0.014000000000000012
2026-03-29 19:43:05+00:00,74.0,1,10:46,Jericho Sims makes 1-foot driving dunk,2,False,2,2,0,0.839,0.8240000000000001,-0.014999999999999902,0.93,0.92,-0.010000000000000009,-0.004999999999999893
2026-03-29 19:43:35+00:00,104.0,1,10:16,Jericho Sims makes layup (Ousmane Dieng assists),2,False,2,4,-2,0.8069999999999999,0.791,-0.015999999999999903,0.9299999999999999,0.94,0.010000000000000009,-0.025999999999999912
2026-03-29 19:43:50+00:00,118.0,1,10:02,Darius Garland makes 28-foot three pointer,3,True,5,4,1,0.791,0.8220000000000001,0.031000000000000028,0.92,0.94,0.019999999999999907,0.01100000000000012
2026-03-29 19:44:16+00:00,145.0,1,9:35,Kawhi Leonard makes 13-foot pullup jump shot,2,True,7,4,3,0.836,0.85,0.014000000000000012,0.92,0.92,0.0,0.014000000000000012
2026-03-29 19:44:35+00:00,164.0,1,9:16,Gary Trent Jr. makes 23-foot three point jumper (Jericho Sims assists),3,False,7,7,0,0.85,0.821,-0.029000000000000026,0.92,0.92,0.0,-0.029000000000000026
2026-03-29 19:44:44+00:00,174.0,1,9:06,John Collins makes 2-foot layup (Darius Garland assists),2,True,9,7,2,0.821,0.835,0.014000000000000012,0.92,0.92,0.0,0.014000000000000012
2026-03-29 19:45:33+00:00,220.0,1,8:20,Darius Garland makes driving layup,2,True,11,7,4,0.848,0.86,0.01200000000000001,0.93,0.95,0.019999999999999907,-0.007999999999999896
2026-03-29 19:48:43+00:00,235.0,1,8:05,Gary Trent Jr. makes 26-foot three point jumper (Jericho Sims assists),3,False,11,10,1,0.86,0.832,-0.028000000000000025,0.9299999999999999,0.9299999999999999,0.0,-0.028000000000000025
2026-03-29 19:49:02+00:00,247.0,1,7:53,Gary Trent Jr. makes 24-foot three pointer,3,False,11,13,-2,0.817,0.784,-0.03299999999999992,0.93,0.92,-0.010000000000000009,-0.02299999999999991
2026-03-29 19:49:21+00:00,271.0,1,7:29,Derrick Jones Jr. makes dunk (John Collins assists),2,True,13,13,0,0.784,0.8,0.016000000000000014,0.9,0.9,0.0,0.016000000000000014
2026-03-29 19:49:47+00:00,298.0,1,7:02,Gary Trent Jr. makes 13-foot driving floating jump shot,2,False,13,15,-2,0.8,0.781,-0.019000000000000017,0.9,0.9,0.0,-0.019000000000000017
2026-03-29 19:50:09+00:00,320.0,1,6:40,Kawhi Leonard makes 22-foot running jump shot (Darius Garland assists),3,True,16,15,1,0.78,0.8140000000000001,0.03400000000000003,0.91,0.91,0.0,0.03400000000000003
2026-03-29 19:52:45+00:00,398.0,1,5:22,Taurean Prince makes 23-foot running jump shot (Gary Trent Jr. assists),3,False,16,18,-2,0.81,0.776,-0.03400000000000003,0.9,0.91,0.010000000000000009,-0.04400000000000004
2026-03-29 19:54:11+00:00,458.0,1,4:22,Kris Dunn makes 23-foot three point jumper (Brook Lopez assists),3,True,19,18,1,0.773,0.808,0.03500000000000003,0.9,0.9,0.0,0.03500000000000003
2026-03-29 19:54:31+00:00,478.0,1,4:02,Derrick Jones Jr. makes running layup,2,True,21,18,3,0.825,0.839,0.014000000000000012,0.9,0.9,0.0,0.014000000000000012
2026-03-29 19:55:41+00:00,517.0,1,3:23,Bennedict Mathurin makes 21-foot running pullup jump shot,2,True,23,18,5,0.853,0.867,0.014000000000000012,0.91,0.92,0.010000000000000009,0.0040000000000000036
2026-03-29 19:55:56+00:00,532.0,1,3:08,Pete Nance makes 1-foot layup (Taurean Prince assists),2,False,23,20,3,0.867,0.853,-0.014000000000000012,0.9299999999999999,0.9299999999999999,0.0,-0.014000000000000012
2026-03-29 19:56:27+00:00,563.0,1,2:37,Andre Jackson Jr. makes 24-foot three point jumper (Taurean Prince assists),3,False,23,23,0,0.837,0.8029999999999999,-0.03400000000000003,0.91,0.9,-0.010000000000000009,-0.02400000000000002
2026-03-29 20:00:30+00:00,621.0,1,1:39,Kris Dunn makes layup (Nicolas Batum assists),2,True,25,23,2,0.8009999999999999,0.819,0.018000000000000016,0.89,0.9,0.010000000000000009,0.008000000000000007
2026-03-29 20:00:58+00:00,643.0,1,1:17,Bennedict Mathurin makes alley oop layup (Kris Dunn assists),2,True,27,23,4,0.835,0.851,0.016000000000000014,0.9,0.91,0.010000000000000009,0.006000000000000005
2026-03-29 20:01:21+00:00,663.9,1,56.1,Cormac Ryan makes driving layup,2,False,27,25,2,0.851,0.834,-0.017000000000000015,0.92,0.9,-0.020000000000000018,0.0030000000000000027
2026-03-29 20:05:01+00:00,713.2,1,6.8,Bennedict Mathurin makes tip shot,2,True,29,25,4,0.832,0.849,0.017000000000000015,0.9,0.9,0.0,0.017000000000000015
2026-03-29 20:08:05+00:00,737.0,2,11:43,John Collins makes 15-foot two point shot,2,True,31,25,6,0.854,0.875,0.02100000000000002,0.91,0.91,0.0,0.02100000000000002
2026-03-29 20:09:09+00:00,772.0,2,11:08,Nicolas Batum makes 26-foot three pointer (Kris Dunn assists),3,True,34,25,9,0.887,0.911,0.02400000000000002,0.9299999999999999,0.95,0.020000000000000018,0.0040000000000000036
2026-03-29 20:10:47+00:00,831.0,2,10:09,Cormac Ryan makes 22-foot running jump shot (Ousmane Dieng assists),3,False,34,28,6,0.91,0.886,-0.02400000000000002,0.95,0.95,0.0,-0.02400000000000002
2026-03-29 20:11:21+00:00,865.0,2,9:35,Taurean Prince makes 22-foot three point jumper (Gary Trent Jr. assists),3,False,34,31,3,0.873,0.844,-0.029000000000000026,0.95,0.94,-0.010000000000000009,-0.019000000000000017
2026-03-29 20:11:45+00:00,889.0,2,9:11,Bennedict Mathurin makes 18-foot jumper,2,True,36,31,5,0.844,0.859,0.015000000000000013,0.94,0.9299999999999999,-0.010000000000000009,0.025000000000000022
2026-03-29 20:12:01+00:00,905.0,2,8:55,Ousmane Dieng makes 10-foot pullup jump shot,2,False,36,33,3,0.859,0.843,-0.016000000000000014,0.9299999999999999,0.93,1.1102230246251565e-16,-0.016000000000000125
2026-03-29 20:17:49+00:00,1030.0,2,6:50,AJ Green makes technical free throw,1,False,36,34,2,0.821,0.802,-0.018999999999999906,0.9,0.9,0.0,-0.018999999999999906
2026-03-29 20:19:38+00:00,1063.0,2,6:17,Jordan Miller makes free throw 2 of 2,1,True,37,34,3,0.821,0.819,-0.0020000000000000018,0.89,0.91,0.020000000000000018,-0.02200000000000002
2026-03-29 20:20:27+00:00,1095.0,2,5:45,Kawhi Leonard makes 26-foot running jump shot (Jordan Miller assists),3,True,40,34,6,0.836,0.869,0.03300000000000003,0.9,0.91,0.010000000000000009,0.02300000000000002
2026-03-29 20:20:59+00:00,1127.0,2,5:13,Kawhi Leonard makes 10-foot fade away jump shot,2,True,42,34,8,0.883,0.896,0.013000000000000012,0.91,0.92,0.010000000000000009,0.0030000000000000027
2026-03-29 20:21:31+00:00,1160.0,2,4:40,AJ Green makes 25-foot three point jumper (Jericho Sims assists),3,False,42,37,5,0.896,0.869,-0.027000000000000024,0.93,0.92,-0.010000000000000009,-0.017000000000000015
2026-03-29 20:21:39+00:00,1167.0,2,4:33,Darius Garland makes 24-foot three pointer,3,True,45,37,8,0.869,0.896,0.027000000000000024,0.93,0.9299999999999999,-1.1102230246251565e-16,0.027000000000000135
2026-03-29 20:22:38+00:00,1203.0,2,3:57,Derrick Jones Jr. makes 1-foot dunk (Darius Garland assists),2,True,47,37,10,0.909,0.92,0.01100000000000001,0.9299999999999999,0.9299999999999999,0.0,0.01100000000000001
2026-03-29 20:26:48+00:00,1262.0,2,2:58,Gary Trent Jr. makes 27-foot three point jumper (AJ Green assists),3,False,47,40,7,0.92,0.897,-0.02300000000000002,0.95,0.95,0.0,-0.02300000000000002
2026-03-29 20:27:32+00:00,1262.0,2,2:58,Gary Trent Jr. makes free throw 1 of 1,1,False,47,41,6,0.871,0.882,0.01100000000000001,0.9299999999999999,0.94,0.010000000000000009,0.0010000000000000009
2026-03-29 20:27:49+00:00,1278.0,2,2:42,Kawhi Leonard makes 17-foot jumper,2,True,49,41,8,0.882,0.896,0.014000000000000012,0.95,0.94,-0.010000000000000009,0.02400000000000002
2026-03-29 20:28:17+00:00,1306.0,2,2:14,Kawhi Leonard makes 25-foot three pointer (Darius Garland assists),3,True,52,41,11,0.909,0.9299999999999999,0.020999999999999908,0.9299999999999999,0.94,0.010000000000000009,0.010999999999999899
2026-03-29 20:29:22+00:00,1342.0,2,1:38,Darius Garland makes 7-foot two point shot,2,True,54,41,13,0.953,0.949,-0.0040000000000000036,0.94,0.95,0.010000000000000009,-0.014000000000000012
2026-03-29 20:30:39+00:00,1361.0,2,1:19,John Collins makes free throw 2 of 2,1,True,55,41,14,0.957,0.956,-0.0010000000000000009,0.98,0.98,0.0,-0.0010000000000000009
2026-03-29 20:31:48+00:00,1386.6,2,53.4,Darius Garland makes free throw 1 of 2,1,True,56,41,15,0.971,0.973,0.0020000000000000018,0.97,0.97,0.0,0.0020000000000000018
2026-03-29 20:32:12+00:00,1386.6,2,53.4,Darius Garland makes free throw 2 of 2,1,True,57,41,16,0.973,0.969,-0.0040000000000000036,0.97,0.97,0.0,-0.0040000000000000036
2026-03-29 20:33:27+00:00,1418.3,2,21.7,Taurean Prince makes 14-foot pullup jump shot,2,False,57,43,14,0.969,0.964,-0.0050000000000000044,,0.98,,
2026-03-29 20:34:13+00:00,1438.1,2,1.9,Gary Trent Jr. makes 31-foot three pointer,3,False,57,46,11,0.957,0.942,-0.015000000000000013,0.97,0.97,0.0,-0.015000000000000013
2026-03-29 20:51:13+00:00,1459.0,3,11:41,Derrick Jones Jr. makes 25-foot three point jumper (Darius Garland assists),3,True,60,46,14,0.9410000000000001,0.958,0.016999999999999904,0.95,0.95,0.0,0.016999999999999904
2026-03-29 20:52:47+00:00,1503.0,3,10:57,Brook Lopez makes free throw 1 of 2,1,True,61,46,15,0.973,0.974,0.0010000000000000009,0.96,0.96,0.0,0.0010000000000000009
2026-03-29 20:53:05+00:00,1503.0,3,10:57,Brook Lopez makes free throw 2 of 2,1,True,62,46,16,0.974,0.97,-0.0040000000000000036,0.97,0.97,0.0,-0.0040000000000000036
2026-03-29 20:53:29+00:00,1526.0,3,10:34,Pete Nance makes 25-foot three point jumper,3,False,62,49,13,0.97,0.958,-0.01200000000000001,0.97,0.96,-0.010000000000000009,-0.0020000000000000018
2026-03-29 20:54:07+00:00,1562.0,3,9:58,Darius Garland makes 26-foot running jump shot (Kawhi Leonard assists),3,True,65,49,16,0.959,0.971,0.01200000000000001,0.97,0.97,0.0,0.01200000000000001
2026-03-29 20:57:29+00:00,1581.0,3,9:39,Andre Jackson Jr. makes 5-foot driving floating jump shot (Taurean Prince assists),2,False,65,51,14,0.971,0.967,-0.0040000000000000036,0.98,0.97,-0.010000000000000009,0.006000000000000005
2026-03-29 20:57:42+00:00,1591.0,3,9:29,Brook Lopez makes layup (Kawhi Leonard assists),2,True,67,51,16,0.967,0.972,0.0050000000000000044,0.98,0.97,-0.010000000000000009,0.015000000000000013
2026-03-29 20:58:08+00:00,1591.0,3,9:29,Brook Lopez makes free throw 1 of 1,1,True,68,51,17,0.981,0.977,-0.0040000000000000036,0.98,0.98,0.0,-0.0040000000000000036
2026-03-29 20:58:31+00:00,1609.0,3,9:11,John Collins makes 20-foot jumper (Darius Garland assists),2,True,70,51,19,0.982,0.985,0.0030000000000000027,0.97,0.98,0.010000000000000009,-0.007000000000000006
2026-03-29 20:59:19+00:00,1638.0,3,8:42,Taurean Prince makes 14-foot pullup jump shot,2,False,70,53,17,0.985,0.983,-0.0020000000000000018,0.99,0.99,0.0,-0.0020000000000000018
2026-03-29 20:59:46+00:00,1661.0,3,8:19,John Collins makes two point shot,2,True,72,53,19,0.983,0.986,0.0030000000000000027,0.99,0.98,-0.010000000000000009,0.013000000000000012
2026-03-29 21:00:19+00:00,1661.0,3,8:19,John Collins makes free throw 1 of 1,1,True,73,53,20,0.991,0.989,-0.0020000000000000018,,0.98,,
2026-03-29 21:00:28+00:00,1672.0,3,8:08,Jericho Sims makes 1-foot dunk (Taurean Prince assists),2,False,73,55,18,0.989,0.986,-0.0030000000000000027,0.98,0.98,0.0,-0.0030000000000000027
2026-03-29 21:01:01+00:00,1696.0,3,7:44,Gary Trent Jr. makes 22-foot pullup jump shot,2,False,73,57,16,0.983,0.979,-0.0040000000000000036,0.98,0.98,0.0,-0.0040000000000000036
2026-03-29 21:01:22+00:00,1716.0,3,7:24,Andre Jackson Jr. makes 1-foot running dunk (Gary Trent Jr. assists),2,False,73,59,14,0.975,0.97,-0.0050000000000000044,0.98,0.98,0.0,-0.0050000000000000044
2026-03-29 21:06:13+00:00,1755.0,3,6:45,AJ Green makes free throw 1 of 2,1,False,73,60,13,0.952,0.95,-0.0020000000000000018,0.97,0.97,0.0,-0.0020000000000000018
2026-03-29 21:06:26+00:00,1755.0,3,6:45,AJ Green makes free throw 2 of 2,1,False,73,61,12,0.95,0.957,0.007000000000000006,0.97,0.98,0.010000000000000009,-0.0030000000000000027
2026-03-29 21:06:42+00:00,1770.0,3,6:30,Kris Dunn makes 23-foot three point jumper (Darius Garland assists),3,True,76,61,15,0.957,0.971,0.014000000000000012,0.97,0.98,0.010000000000000009,0.0040000000000000036
2026-03-29 21:07:45+00:00,1807.0,3,5:53,Kawhi Leonard makes 9-foot two point shot,2,True,78,61,17,0.977,0.982,0.0050000000000000044,0.97,0.97,0.0,0.0050000000000000044
2026-03-29 21:08:00+00:00,1822.0,3,5:38,Taurean Prince makes 23-foot three point jumper (AJ Green assists),3,False,78,64,14,0.982,0.973,-0.009000000000000008,0.97,0.98,0.010000000000000009,-0.019000000000000017
2026-03-29 21:09:20+00:00,1869.0,3,4:51,Kawhi Leonard makes 24-foot three point step back jumpshot,3,True,81,64,17,0.974,0.983,0.009000000000000008,0.98,0.97,-0.010000000000000009,0.019000000000000017
2026-03-29 21:09:35+00:00,1884.0,3,4:36,Taurean Prince makes 23-foot three point jumper (AJ Green assists),3,False,81,67,14,0.983,0.975,-0.008000000000000007,0.98,0.98,0.0,-0.008000000000000007
2026-03-29 21:09:53+00:00,1902.0,3,4:18,Derrick Jones Jr. makes dunk (Darius Garland assists),2,True,83,67,16,0.975,0.98,0.0050000000000000044,0.99,0.98,-0.010000000000000009,0.015000000000000013
2026-03-29 21:11:03+00:00,1932.0,3,3:48,Brook Lopez makes 13-foot floating jump shot (Bennedict Mathurin assists),2,True,85,67,18,0.985,0.988,0.0030000000000000027,0.98,0.99,0.010000000000000009,-0.007000000000000006
2026-03-29 21:15:59+00:00,1979.0,3,3:01,Brook Lopez makes free throw 2 of 2,1,True,86,67,19,0.992,0.992,0.0,,0.98,,
2026-03-29 21:16:36+00:00,2013.0,3,2:27,Derrick Jones Jr. makes 1-foot dunk (Darius Garland assists),2,True,88,67,21,0.994,0.996,0.0020000000000000018,0.99,0.98,-0.010000000000000009,0.01200000000000001
2026-03-29 21:17:21+00:00,2059.0,3,1:41,Bennedict Mathurin makes two point shot (Darius Garland assists),2,True,90,67,23,0.998,0.998,0.0,0.99,0.99,0.0,0.0
2026-03-29 21:17:58+00:00,2066.0,3,1:34,Andre Jackson Jr. makes free throw 1 of 2,1,False,90,68,22,0.997,0.997,0.0,,0.99,,
2026-03-29 21:18:24+00:00,2066.0,3,1:34,Andre Jackson Jr. makes free throw 2 of 2,1,False,90,69,21,0.997,0.998,0.0010000000000000009,0.99,0.99,0.0,0.0010000000000000009
2026-03-29 21:19:15+00:00,2081.0,3,1:19,Bennedict Mathurin makes free throw 1 of 2,1,True,91,69,22,0.999,0.999,0.0,,0.99,,
2026-03-29 21:19:39+00:00,2081.0,3,1:19,Bennedict Mathurin makes free throw 2 of 2,1,True,92,69,23,0.999,0.999,0.0,0.99,0.99,0.0,0.0
2026-03-29 21:20:21+00:00,2092.0,3,1:08,Ousmane Dieng makes free throw 1 of 2,1,False,92,70,22,0.998,0.997,-0.0010000000000000009,,,,
