ticker,game_date,away_team,home_team,home_spread,abs_spread,n_ingame,r_squared,slope,p_value,mean_delta,mean_abs_delta,final_2m_abs_delta,zone_buckets,zone_seconds,zone_pct
KXNBAGAME-26FEB20DENPOR,2026-02-20,DEN,POR,-1.0,1.0,269,0.6449291113075515,-3.534771195194242e-05,5.619515321535503e-62,0.033907531199629325,0.03470075031998668,0.009125,20,600,7.434944237918216
KXNBAGAME-26FEB22PORPHX,2026-02-22,POR,PHX,3.5,3.5,247,0.6694530357140356,-4.4658628272944105e-05,7.929642197257573e-61,0.03142690779758979,0.03997528975346394,0.009249999999999934,85,2550,34.412955465587046
KXNBAGAME-26FEB23SASDET,2026-02-23,SAS,DET,-1.0,1.0,321,0.17375074852047906,-1.3813945698974373e-05,6.349586060959099e-15,-0.0054170420311705075,0.0353855051964584,0.007999999999999997,184,5520,57.320872274143305
KXNBAGAME-26MAR04ATLMIL,2026-03-04,ATL,MIL,-1.0,1.0,267,0.012021540940734338,-4.384205510543767e-06,0.07368437473212924,0.04028790366629,0.04576915634882078,0.009199999999999998,83,2490,31.086142322097377
KXNBAGAME-26MAR05DETSAS,2026-03-05,DET,SAS,-3.5,3.5,293,0.18355338426725018,-8.757814412699657e-06,1.6476758508179906e-14,-0.016670709141657764,0.023166036929401435,0.007999999999999985,11,330,3.7542662116040955
KXNBAGAME-26MAR05NOPSAC,2026-03-05,NOP,SAC,5.5,5.5,268,0.6144715516072725,-4.247187310451057e-05,5.486994637928613e-57,0.03781053767525425,0.04612418685364178,0.00899999999999996,78,2340,29.104477611940297
KXNBAGAME-26MAR07LACMEM,2026-03-07,LAC,MEM,5.5,5.5,298,0.5226079798502946,-6.836412468403352e-05,1.901258052183423e-49,0.15482768641356068,0.15642150820294531,0.039910474562092575,105,3150,35.23489932885906
KXNBAGAME-26MAR08BOSCLE,2026-03-08,BOS,CLE,1.5,1.5,287,0.6273800165881106,-0.0001877437107650831,4.7852254949932314e-63,0.13227948039557227,0.13777532766002942,0.008461538461538354,0,0,0.0
KXNBAGAME-26MAR08CHAPHX,2026-03-08,CHA,PHX,4.5,4.5,281,0.04978859767588986,8.526311694572133e-06,0.00016234380847032206,0.03495266177734101,0.0406882033887145,0.009199999999999998,132,3960,46.97508896797153
KXNBAGAME-26MAR09NYKLAC,2026-03-09,NYK,LAC,2.5,2.5,303,0.2556807366379211,-2.3267412395006567e-05,4.509600577953466e-21,0.07965562105472265,0.0824331214774836,0.012848106700834172,115,3450,37.95379537953795
KXNBAGAME-26MAR10TORHOU,2026-03-10,TOR,HOU,-5.5,5.5,266,0.010252766758189123,-2.208531076313218e-06,0.09937420223094927,-0.003802209688283203,0.021418673611331717,0.009200000000000009,66,1980,24.81203007518797
KXNBAGAME-26MAR12DALMEM,2026-03-12,DAL,MEM,4.5,4.5,257,0.0660752188171161,-9.300988857821836e-06,3.0319423294590455e-05,0.019174985688582592,0.02725677268325379,0.009076923076923076,6,180,2.3346303501945527
KXNBAGAME-26MAR15DETTOR,2026-03-15,DET,TOR,3.5,3.5,285,0.0005260175013531545,7.897037633205727e-07,0.6998391120778003,-0.012682954480199009,0.040054025172517466,0.020974203043105717,136,4080,47.719298245614034
KXNBAGAME-26MAR19MILUTA,2026-03-19,MIL,UTA,5.5,5.5,258,0.29137033265151496,-2.9318647253516378e-05,6.5289774613692235e-21,0.06182835612162714,0.06386441630594727,0.00918181818181818,89,2670,34.49612403100775
KXNBAGAME-26MAR20GSWDET,2026-03-20,GSW,DET,-5.5,5.5,271,0.22709557785042508,-1.3006153550419269e-05,9.040261645411025e-17,-0.007216942406868099,0.028427038702673962,0.009133333333333306,61,1830,22.509225092250922
KXNBAGAME-26MAR21CLENOP,2026-03-21,CLE,NOP,4.5,4.5,274,0.38292829268987694,-2.512547399178167e-05,2.375888366715304e-30,-0.02366995932782046,0.056156560532617555,0.02776298956763092,78,2340,28.467153284671532
KXNBAGAME-26MAR22TORPHX,2026-03-22,TOR,PHX,2.5,2.5,255,0.8419063999333108,-7.310908455569316e-05,2.5099039748439573e-103,0.0876479668817204,0.0876479668817204,0.009222222222222222,63,1890,24.705882352941178
KXNBAGAME-26MAR23GSWDAL,2026-03-23,GSW,DAL,1.5,1.5,343,0.3299810086733,-3.2253249120621705e-05,1.6646331478309893e-31,0.06993313500715383,0.08297811806613868,0.020906531230933674,175,5250,51.02040816326531
