espn_game_id,kalshi_event_ticker,game_date,away_team,home_team,home_spread,abs_spread
401809243,KXNBAGAME-25OCT21HOUOKC,2025-10-21,HOU,OKC,-6.5,6.5
401809244,KXNBAGAME-25OCT21GSWLAL,2025-10-21,GSW,LAL,2.5,2.5
401809234,KXNBAGAME-25OCT22CLENYK,2025-10-22,CLE,NYK,1.5,1.5
401809235,KXNBAGAME-25OCT22SASDAL,2025-10-22,SAS,DAL,-3.0,3.0
401809933,KXNBAGAME-25OCT22BKNCHA,2025-10-22,BKN,CHA,-5.0,5.0
401809934,KXNBAGAME-25OCT22MIAORL,2025-10-22,MIA,ORL,-8.5,8.5
401809935,KXNBAGAME-25OCT22TORATL,2025-10-22,TOR,ATL,-5.5,5.5
401809936,KXNBAGAME-25OCT22PHIBOS,2025-10-22,PHI,BOS,-4.5,4.5
401809937,KXNBAGAME-25OCT22DETCHI,2025-10-22,DET,CHI,2.5,2.5
401809938,KXNBAGAME-25OCT22NOPMEM,2025-10-22,NOP,MEM,-4.0,4.0
401809939,KXNBAGAME-25OCT22WASMIL,2025-10-22,WAS,MIL,-10.0,10.0
401809940,KXNBAGAME-25OCT22LACUTA,2025-10-22,LAC,UTA,9.5,9.5
401809941,KXNBAGAME-25OCT22SACPHX,2025-10-22,SAC,PHX,-4.0,4.0
401809942,KXNBAGAME-25OCT22MINPOR,2025-10-22,MIN,POR,4.0,4.0
401809236,KXNBAGAME-25OCT23OKCIND,2025-10-23,OKC,IND,7.5,7.5
401809237,KXNBAGAME-25OCT23DENGSW,2025-10-23,DEN,GSW,-2.0,2.0
401809943,KXNBAGAME-25OCT24ATLORL,2025-10-24,ATL,ORL,-6.0,6.0
401809944,KXNBAGAME-25OCT24CLEBKN,2025-10-24,CLE,BKN,11.5,11.5
401809945,KXNBAGAME-25OCT24BOSNYK,2025-10-24,BOS,NYK,-3.5,3.5
401809946,KXNBAGAME-25OCT24MILTOR,2025-10-24,MIL,TOR,-1.5,1.5
401809947,KXNBAGAME-25OCT24DETHOU,2025-10-24,DET,HOU,-6.5,6.5
401809948,KXNBAGAME-25OCT24MIAMEM,2025-10-24,MIA,MEM,-3.0,3.0
401809949,KXNBAGAME-25OCT24SASNOP,2025-10-24,SAS,NOP,4.0,4.0
401809950,KXNBAGAME-25OCT24WASDAL,2025-10-24,WAS,DAL,-9.5,9.5
401809951,KXNBAGAME-25OCT24MINLAL,2025-10-24,MIN,LAL,1.5,1.5
401809952,KXNBAGAME-25OCT24GSWPOR,2025-10-24,GSW,POR,2.5,2.5
401809953,KXNBAGAME-25OCT24UTASAC,2025-10-24,UTA,SAC,-6.0,6.0
401809954,KXNBAGAME-25OCT24PHXLAC,2025-10-24,PHX,LAC,-10.0,10.0
401809955,KXNBAGAME-25OCT25CHIORL,2025-10-25,CHI,ORL,-6.0,6.0
401809956,KXNBAGAME-25OCT25OKCATL,2025-10-25,OKC,ATL,8.0,8.0
401809957,KXNBAGAME-25OCT25CHAPHI,2025-10-25,CHA,PHI,-4.5,4.5
401809958,KXNBAGAME-25OCT25INDMEM,2025-10-25,IND,MEM,-2.0,2.0
401809959,KXNBAGAME-25OCT25PHXDEN,2025-10-25,PHX,DEN,-13.0,13.0
401809960,KXNBAGAME-25OCT26BKNSAS,2025-10-26,BKN,SAS,,
401809961,KXNBAGAME-25OCT26BOSDET,2025-10-26,BOS,DET,-2.5,2.5
401809962,KXNBAGAME-25OCT26MILCLE,2025-10-26,MIL,CLE,-6.5,6.5
401809963,KXNBAGAME-25OCT26NYKMIA,2025-10-26,NYK,MIA,2.5,2.5
401809964,KXNBAGAME-25OCT26CHAWAS,2025-10-26,CHA,WAS,-1.5,1.5
401809965,KXNBAGAME-25OCT26INDMIN,2025-10-26,IND,MIN,-12.5,12.5
401809966,KXNBAGAME-25OCT26TORDAL,2025-10-26,TOR,DAL,1.0,1.0
401809967,KXNBAGAME-25OCT26PORLAC,2025-10-26,POR,LAC,-8.0,8.0
401809968,KXNBAGAME-25OCT26LALSAC,2025-10-26,LAL,SAC,-3.5,3.5
401809245,KXNBAGAME-25OCT27CLEDET,2025-10-27,CLE,DET,2.5,2.5
401809246,KXNBAGAME-25OCT27DENMIN,2025-10-27,DEN,MIN,6.5,6.5
401809969,KXNBAGAME-25OCT27ORLPHI,2025-10-27,ORL,PHI,5.5,5.5
401809970,KXNBAGAME-25OCT27ATLCHI,2025-10-27,ATL,CHI,3.0,3.0
401809971,KXNBAGAME-25OCT27BKNHOU,2025-10-27,BKN,HOU,-16.0,16.0
401809972,KXNBAGAME-25OCT27BOSNOP,2025-10-27,BOS,NOP,4.5,4.5
401809973,KXNBAGAME-25OCT27TORSAS,2025-10-27,TOR,SAS,-4.5,4.5
401809974,KXNBAGAME-25OCT27OKCDAL,2025-10-27,OKC,DAL,8.5,8.5
401809975,KXNBAGAME-25OCT27PHXUTA,2025-10-27,PHX,UTA,-1.0,1.0
401809976,KXNBAGAME-25OCT27MEMGSW,2025-10-27,MEM,GSW,-8.0,8.0
401809977,KXNBAGAME-25OCT27PORLAL,2025-10-27,POR,LAL,3.0,3.0
401809978,KXNBAGAME-25OCT28PHIWAS,2025-10-28,PHI,WAS,5.0,5.0
401809979,KXNBAGAME-25OCT28CHAMIA,2025-10-28,CHA,MIA,-5.5,5.5
401809980,KXNBAGAME-25OCT28NYKMIL,2025-10-28,NYK,MIL,,
401809981,KXNBAGAME-25OCT28SACOKC,2025-10-28,SAC,OKC,-18.5,18.5
401809982,KXNBAGAME-25OCT28LACGSW,2025-10-28,LAC,GSW,,
401809983,KXNBAGAME-25OCT29CLEBOS,2025-10-29,CLE,BOS,3.5,3.5
401809984,KXNBAGAME-25OCT29ORLDET,2025-10-29,ORL,DET,2.0,2.0
401809985,KXNBAGAME-25OCT29ATLBKN,2025-10-29,ATL,BKN,8.5,8.5
401809986,KXNBAGAME-25OCT29HOUTOR,2025-10-29,HOU,TOR,5.5,5.5
401809987,KXNBAGAME-25OCT29SACCHI,2025-10-29,SAC,CHI,-5.0,5.0
401809988,KXNBAGAME-25OCT29INDDAL,2025-10-29,IND,DAL,-6.0,6.0
401809989,KXNBAGAME-25OCT29NOPDEN,2025-10-29,NOP,DEN,-12.5,12.5
