stop_loss,n,mean_pnl,median_pnl,std_pnl,win_rate,annual_ev,entries_per_game,n_rt,n_stop,n_res_loss,n_res_win,n_res_mid,n_partial_full,false_stops_pct,max_single_loss
,425,-4.21653909104454,11.287232844657673,25.832423238434583,61.64705882352941,-5962.569596472528,2.5757575757575757,262,0,163,0,0,0,0.0,-40.38940928270042
0.39,745,-1.464245585539102,-2.029916078395825,6.516336001706386,17.583892617449663,-3629.598580081336,4.515151515151516,71,674,0,0,0,0,61.42433234421365,-28.630982531449355
0.38,705,-1.5316886354439767,-2.806391268023578,7.353912621288826,18.156028368794328,-3592.9238054873567,4.2727272727272725,88,617,0,0,0,0,60.29173419773095,-28.630982531449355
0.37,681,-1.466439297607629,-3.47719017135905,8.10719567518873,19.970631424375917,-3322.7648106501006,4.127272727272727,107,574,0,0,0,0,58.18815331010453,-28.630982531449355
0.36,644,-1.4084976114170493,-4.075550047261858,9.008078193682554,23.4472049689441,-3018.077463649493,3.903030303030303,126,518,0,0,0,0,55.79150579150579,-28.630982531449355
0.35,619,-1.4913328782157496,-4.610646198308366,9.515834921643494,24.55573505654281,-3071.5220808299173,3.7515151515151515,136,483,0,0,0,0,53.6231884057971,-28.630982531449355
0.34,597,-1.274121111151702,-5.233532534658359,10.319248213002794,28.14070351758794,-2530.891009353356,3.618181818181818,154,443,0,0,0,0,50.79006772009029,-28.630982531449355
0.33,579,-1.3059244997816406,-6.032350782310966,10.894677523547129,30.05181347150259,-2515.851676788424,3.5090909090909093,163,416,0,0,0,0,49.03846153846154,-28.630982531449355
0.32,563,-1.4663777462672374,-6.853156054608768,11.430607074683223,31.616341030195382,-2746.8987785484946,3.412121212121212,169,394,0,0,0,0,47.46192893401015,-28.630982531449355
0.31,556,-1.7022014184800154,-7.437427576573316,12.11466551043182,33.093525179856115,-3149.0107259546294,3.3696969696969696,178,378,0,0,0,0,46.82539682539682,-28.630982531449355
0.3,544,-1.651477442157381,-7.700542961285129,12.659802710162527,34.92647058823529,-2989.2342240300286,3.296969696969697,187,357,0,0,0,0,44.53781512605042,-28.630982531449355
0.29,531,-1.7533885015879291,-8.403977237305854,13.230449158956404,36.91148775894539,-3097.854924814615,3.2181818181818183,193,338,0,0,0,0,41.71597633136095,-28.630982531449355
0.28,521,-1.5851224948386462,-8.558966349842738,13.893782735065788,39.34740882917466,-2747.824255007292,3.1575757575757577,202,319,0,0,0,0,39.18495297805643,-31.82301107415436
0.27,510,-1.5968350489165368,-9.191320899899875,14.467501965648875,40.588235294117645,-2709.6839111887343,3.090909090909091,206,304,0,0,0,0,37.5,-31.82301107415436
0.26,502,-1.8735973778619213,-9.73022362713584,15.081796471783464,41.832669322709165,-3129.4526675393317,3.0424242424242425,209,293,0,0,0,0,35.83617747440273,-31.82301107415436
0.25,494,-1.942201357678373,-9.450081698651172,15.621167499059004,43.522267206477736,-3192.3434024880053,2.993939393939394,214,280,0,0,0,0,33.57142857142857,-31.82301107415436
0.24,486,-1.870511361040594,-9.599803394221878,16.16528530481107,45.267489711934154,-3024.7188986950605,2.9454545454545453,219,267,0,0,0,0,30.711610486891384,-31.82301107415436
0.23,483,-2.0426625682234163,-10.213845051997085,16.545853987768094,45.962732919254655,-3282.707304412719,2.9272727272727272,221,262,0,0,0,0,29.770992366412212,-31.82301107415436
0.22,478,-1.9615751434340067,-9.374982782736016,17.031465660686194,47.69874476987448,-3119.76043812266,2.896969696969697,227,251,0,0,0,0,27.09163346613546,-31.82301107415436
0.21,471,-2.0626149751337497,-8.033171227040933,17.573711655600018,48.832271762208066,-3232.4176827582414,2.8545454545454545,229,242,0,0,0,0,25.206611570247933,-31.82301107415436
0.2,467,-2.387033234116449,-1.5230881901055449,18.11396491631145,49.46466809421842,-3709.059040378652,2.83030303030303,230,237,0,0,0,0,24.47257383966245,-31.82301107415436
